"IDRSSD"	RCFD2930	RCFD2932	RCFD2938	RCFD3049	RCFD3066	RCFD3552	RCFD3553	RCFD3554	RCFD3646	RCFDB557	RCFDC011	RCFDC012	RCFDLB56	RCON2930	RCON2932	RCON2938	RCON3049	RCON3066	RCON3552	RCON3553	RCON3554	RCON3645	RCON3646	RCONB557	RCONC011	RCONC012	RCONLB56	TEXT3552	TEXT3553	TEXT3554	
14865														8746		6323	0					143	2255	25							
14977														330	0	44	0	44	0	0	0	104	182	0	0	0	0				
16551														1298		115	0					515	449	219							
17110														18537		10059	0					819	7583	76			9803				
17147														225914	0	144516	0	0	0	0	0	9938	51160	20300	0	114015	0				
17259														1714		1410	0					68	236	0							
17950														3585		1569	0					836	1019	161							
17978														292		118	0					15	159	0							
18050														5882		2314	0					999	2439	130							
18827														21949		14839	0					1026	4261	1823							
18836														2111		1069	0					113	929	0							
18854														10920		7910	0					1334	1212	464							
19356														753		437	0					129	114	73							
19936														3090		2485	0					277	10	318							
19972														1551		1406	0					2	85	58							
20053														328		0	0					259	69	0							
20633														1966		1513	0					254	151	48							
20857														2215		485	0					1197	389	144							
21256														24		16	0					8	0	0							
21359														478		351	0					56	71	0							
21658														1566		1018	0					255	293	0	893						
22048														3179		1504	0					484	1046	145							
22543														2706		1271	717					82	445	191							
22552														297		0	0					207	90	0							
22730														820		409	0					65	324	22							
23456														1709		1	0					824	884	0							
23504														118672	0	62527	0	0	0	0	0	10600	42788	2757	0	0	58281				
23643														1026		89	0					478	298	161							
23755														2641		969	0					123	1549	0							
24006														15978		10804	0					562	3126	1486							
24378														354		56	0					2	296	0							
24659														501		288	0					35	178	0							
24949														4177		2783	0					529	684	181							
25357														1827		0	0					658	819	350							
25647														1863		32	0	30				777	1054	0				Unearned SBA Fees	AP Loans		
26765														45129		13172	0					3269	19238	9450							
27070														5841		2053	0					1156	2395	237							
27548														6464		787	0					532	5145	0							
27614														2127		810	0					527	779	11							
27847														5218		2492	0					777	1837	112							
28013														27678		16921	0					508	9848	401	16255						
28152														2523		2323	0	125				149	51	0	932	1198					
28675														738		3	0					612	123	0							
28732														1665		991	0					251	291	132							
29476														722		310	0					172	99	141							
29636														16081		10394	0					1092	3684	911							
29878														39576		39437	0	10954	57	6119		0	139	0	21009			Abandoned Property	Minimum Liability Pension		
30052														302		85	14					6	197	0							
30502														14667		9619	0					1389	3323	336							
30650														1026		3	0					107	916	0							
30810	5152883	0	1799341	0	0	1623987	0	0	3013761	48000	0	0	0									291781						Payment Services			
31134														1807		1154	0	118	462	186		327	326	0				Index Liability Plan	Split Dollar Ins Liability		
31255														13634		4235	0		2068			1360	7483	556			1729	Factored loans collected reserves			
31657														175		0	0					85	90	0							
31826														3725		2512	0					837	376	0	1070						
31835														5756		2384	0					250	3122	0				minority interest in subsidiary			
32234														1634		726	0					605	303	0							
32766														2896	1188	1188	688					38	957	25							
32971														5053		4021	0					290	494	248							
33147														2335		399	0					885	984	67							
33259														6291		309	0					2283	3699	0							
33370														177		177	0					0	0	0							
33839														209		9	108					40	52	0							
33857														13262		9146	0					1431	2685	0							
34434														3131		2605	0					418	108	0							
34537														172728		137937	0					9144	20957	4690		37362	51897				
34555														2773		2363	0					270	0	140	2283						
34742														9811		6913	0					1414	1406	78				Reserve for Investor Loan Payment			
35057														734	0	98	0	0	0	0	0	221	309	106	0	0	0				
35301	19746000	0	17271000	23000	0	7281000	6869000	0	2358000	14000	0	0	0									80000						Collateral deposits	TBD by Client 13		
35646														618		431	0					154	33	0							
35879														993		208	0					444	341	0							
36456														491		230	0					131	130	0							
36933														2149		847	0					605	597	100							
37051														363		93	0					232	38	0							
37341														534		334	0					156	44	0							
37435														15582		6539	0					590	6184	2269							
37640														52368		26184	0					4544	21640	0		10559					
37659														858	0	786	0	0	0	0	0	35	37	0	786	0	0				
37949														310		148	0					156	6	0							
38740														2363		1185	0					261	917	0							
39327														3749		2969	0					239	228	313							
39756														8001		2882	0		2882			1199	3720	200				accrued salaries			
40033														698		636	0					14	48	0							
40499														144615		122949	0		44000			2765	14656	4245	40769			Cash held as collateral			
40855														1051		0	0					509	542	0							
41553														593		0	0					45	503	45							
41629														1474		504	0					431	535	4							
41825														5368		4094	0	326				167	573	534	1203		2565				
42037														432		0	0					100	332	0							
42354														949		0	0					176	773	0							
42372														2581		1983	0					49	175	374							
42420														230041	6060	169882	0					3648	47627	8884		100093	50155				
42448														9382	0	1008	0	0	843	0	0	5710	1312	1352	0	0	0	OTHER PAYABLES			
42457														302		0	58					17	227	0							
43052														853		6	0					131	716	0							
43351														6975		3194	0					2383	1098	300							
43856														766		579	0					30	157	0							
43959														1042		1	0					537	375	129							
44040														1670		11	0					198	1461	0							
44433														4376		2765	0					617	579	415			2106				
44741														2419		372	0					102	1903	42							
44750														737		29	0					165	543	0							
44929														649		3	259					102	285	0							
45038														1329	0	934	0	0	781	0	0	85	262	48	0	0	0	Contribution Payable - LIHTC Investment			
45047														1026		166	0					383	373	104							
45056														544		125	0					53	366	0							
45430														4215		3752	0					149	314	0							
45458														1586		893	0					148	481	64							
45551														11878		6545	0					1503	2290	1540							
45560														32223		13859	0					7060	10086	1218	8787		3744				
45775														3814		3805	0					8	1	0							
46053														3557		2484	0					533	540	0							
46941														757		0	0					323	434	0							
47247														7891		1916	0					1242	3083	1650	1153						
47500														3135		1174	0					64	1712	185							
48057														2058		1837	0					96	125	0							
48150														112		0	0					107	5	0							
48374														11539		3769	0					1330	5854	586							
48440														1884		1274	0					610	0	0							
49054														1629		901	0					124	604	0							
49148														1618		1289	0					90	239	0							
49241														17320		14130	0					1255	335	1600							
49652														285		53	0					121	111	0							
49858														1578		1018	0					203	357	0							
49951														737		2	0					74	661	0							
50144														1668		0	0					267	1401	0							
50461														1130		527	0	272				108	395	100			248				
51253														17933	0	12691	470	0	1574	8242	0	2778	1994	0	0	0	0	Deferred Gain ORE	Escrow		
51356														77		0	0					61	16	0							
51459														2275		504	0					881	754	136							
51842														5332		1678	0		109			1092	2012	550	1451			Supplemental Exec Retire Healthcare Benefit			
52719														3368835	0	3334269	0	0	1993920	1282798	0	0	34566	0	0	0	0	Participant fund cash	Payable to participants		
52951														1026		278	0					339	409	0							
53051														135		0	0					109	26	0							
54058														1546		497	0		44			749	0	300				ATM Clearing			
54656														12818		1610	0					7290	3478	440	1463						
54973														176528		47200	0					5080	119148	5100	24863		17867				
55336														2870		1520	0					112	955	283							
55635														1559		326	0					232	1001	0							
55653														226		88	0					41	97	0							
55970														2083		40	0					26	1917	100							
56258														1632		1119	0					167	346	0							
56351														33211		14089	0		7365			2341	16029	752			5249	Management incentive accruals			
56548														3874		36	0					3195	643	0							
56717														13409		6233	0					307	6869	0							
57040														272		0	0					271	1	0							
57451														3048		0	0					1319	1729	0							
58225														1079		202	0					286	591	0							
58243														165503		122149	0	3160	4188			7996	34258	1100	1134	81100	25575	Deferred Liability - NMTC			
58355														200		12	0					163	25	0							
58551														2059		1661	0					358	40	0							
58636														5075		1639	0					507	2477	452							
58757														5282		3839	0					485	725	233							
58971														164173		81767	0		23870			6716	61712	13978	31972			Commitments for Tax Credit Investments			
59316														27130		11121	0					7706	8060	243							
59352														2331		68	0					750	1513	0							
59370														495		27	0					3	57	408							
59754														417		246	0					53	94	24							
60143	1610000	0	1081000	0	0	328000	0	0	336000	42000	0	0	392000									151000						Pension plan liability			
60330														10299	0	7955	0	0	0	0	0	1372	481	491	4340	0	2681				
60545														1075		0	0					882	193	0							
60554														254		0	0					109	145	0							
60648														3123		1968	0					113	1042	0							
61122														27370	0	22230	0	0	0	0	0	314	3841	985	7294	0	2347				
61355														10928		61	0					1864	9003	0							
61476														11400		3538	0					1	7601	260							
61757														2638		358	0					988	978	314	343						
61832														3646		2191	0					339	721	395				Contracts Payable			
61953														276		207	0					22	47	0							
62044														975		103	0					55	687	130							
62110														1919		122	0					0	1797	0							
62147														400		34	0					111	255	0							
63050														4812		3912	0					163	737	0							
63069	3081450	0	2289059	0	0	0	0	0	602552	65432	0	883664	0									124407									
63201														1054		448	0					109	406	91				Prepaid Exp			
63573														1905		614	0					64	1227	0							
63733														8698		1997	0					2607	2890	1204	1887			Cardholder Settlement Debit Cards			
64150														2056		952	0					1104	0	0							
64552														4978		1933	1985					434	465	161		795	464	CDFI Award - DPA			
64730														2141		169	0					180	950	842							
65205														7170		2377	0					41	3976	776							
65513	5007	0	3401	0	0	0	0	0	1367	0	0	0	3101									239									
65559														8868		5408	0					600	2860	0	5291						
65858														16767		1925	0					774	13164	904							
66154														2423		913	0					616	800	94							
66275														2686		1859	0					595	182	50							
66677														3418		1426	1299	47				1	671	21	731		71				
67142														567		13	0					330	224	0							
67151														12708		10575	0					378	1755	0							
67209														40112		31476	0					1322	6379	935							
67254														119		0	0					0	119	0							
67656														12942		2350	0					866	8858	868							
67870														10127		8856	0					455	684	132							
68671														3045		1984	0					898	163	0							
68756														7307		4197	0		1101			509	1969	632	2624			Salaries Bonus Accrual			
68831														1857		0	0					75	1659	123							
69333														10819	0	2048	0	0	0	0	0	1970	6801	0	0	0	2048				
69678														1552		765	0					168	619	0							
70218														7060	0	6516	0	0	0	0	0	204	315	25	0	0	6514				
70414														2834		1	0					283	2300	250							
70638														2274		220	0					230	1824	0							
70955														269		0	80					25	164	0							
71073														1481		1031	0					66	364	20							
71457														2170		378	0					857	935	0							
71859														3303		0	0					3	3300	0							
72258														2617		0	0					1101	1362	154							
72351														388		0	0					74	314	0							
72454														755		0	0					389	366	0							
72678														4916		337	0					19	4545	15							
73116														6461		1937	0					66	4458	0							
73152														1275		965	0					219	51	40							
73554														1404		3	0					483	803	115							
73956														203		120	0					54	21	8							
74056														1721		1275	0					143	303	0							
74140														16931		12351	0		4512			696	3532	352	5694			Low Income Housing Investment Obligation			
74403														9355		5042	0	1754				769	2993	551			2154		ATM Settlement	SERP	
74449														70		15	0					55	0	0							
75259														4985		2586	0					997	1402	0							
75446														2034		13	0					695	1299	27							
75455														161		6	0					110	45	0							
75633	5457120	0	2459430	0	916832	0	0	0	2453811	250289	0	0	1109090									293590									
75651														251		0	0					209	42	0							
76153														257		42	119	42				39	57	0							
76443														475		3	0					12	428	32							
76854														2471		1077	0					445	949	0							
77150														398		0	0					237	159	2							
77253														2694		0	0					300	2394	0							
77422														2110		1753	0					101	144	112							
77851														74083	0	33219	0	0	0	0	0	11638	27996	1230	23980	0	0				
78157														261		87	0					19	146	9							
78241														1648		0	0					115	1148	385							
78559														870		312	0					55	485	18							
79042														2934		1900	0	1563				467	480	87							
79127														492		233	0					41	197	21							
79145														1993		428	0					600	515	450							
79257														184		0	0					32	152	0							
79855														940		0	0					562	378	0							
80150														3721		2143	0					1273	305	0							
80374														624		54	0					7	563	0							
80431														497		0	0					323	174	0							
81175														3701		1715	0					620	1208	158							
82033														2250		991	0					425	834	0							
82257														924		752	0					154	18	0							
82350														875		692	0					89	94	0							
83151														2174		566	0					1075	533	0							
83375														11586		4491	0					3375	2237	1483							
83638	327151	0	271753	0	0	0	0	0	42193	2602	0	85618	124072									10603									
83834														2046		1564	0					93	389	0				CECL for unused committments			
83852														202		18	0					41	143	0							
83955														596		0	0					328	268	0							
84046														67		1	0					66	0	0							
84541														20693		10130	0					2340	6821	1402							
85052														1227		194	0					719	287	27							
85472														384441		319956	0		142349			16982	45173	2330		142193		Derivative Cash Collateral Liability			
85931														2788		1449	0					1024	260	55							
86349														3989		3074	0					258	563	94							
86675														7508		4557	0					49	2895	7							
87047														827		466	0					198	143	20							
87234														10816		6654	0					3373	774	15							
87476														933		169	0					21	655	88							
87579														4872		3100	0			1279		14	1273	485	898		718		Payable to NOVO		
88231														19520		13115	0					734	3418	2253							
88259														936		523	0					347	66	0							
88352														1001		554	0	402				183	264	0			152				
88455														5318		7	0					950	4361	0							
88950														474		4	0					162	169	139							
89032														1623		0	0					422	1201	0							
89135														1831		1551	0					35	245	0							
89854														1400		336	0					911	153	0							
89957														1176		378	0					311	410	77							
90047														123		0	13					77	33	0							
90177														1924		453	0					31	1411	29							
90328														6773		4827	0					323	1234	389							
90337														7620		5343	0					901	1376	0	3705						
90579														5229		3405	0					37	1745	42							
91615														492		55	0					89	348	0							
91754														8973		2564	0	70				4797	1342	270	2470		10				
91950														905		707	0					120	78	0							
92144														70		0	0					70	0	0							
92676														11220		9275	0		2512			94	1514	337			6384	Liability for Pension & Postretirement benefits			
92706														5120		4848	0					80	100	92							
92902														71		17	10					7	37	0							
93244														1571		0	0					785	674	112							
93543														8725		3999	0					1880	2555	291							
93619	878	0	0	0	0	0	0	0	878	0	0	0	0									0									
94139														8532		5275	0					138	3119	0							
94522														7193		5779	0					629	522	263							
94755														747		431	0					174	0	142							
94858														898		375	0					201	297	25							
95051														12834		11620	0	7929				683	531	0			3360				
95677														545		527	0					0	0	18							
96553														476		4	123					78	271	0							
97055														1102		7	0					531	564	0							
97279														240		0	0					141	99	0							
97457														230		0	0					134	96	0							
97804														27957		8042	0					1099	17403	1413							
97943														2738		166	0					886	1686	0							
98351														749		134	0					127	488	0							
98463														13450		1215	0					1	11906	328							
98717														5340	0	67	0	0	0	0	0	1505	3763	5	0	0	0				
99143														4395		3375	0					153	867	0							
99376														40550		17342	0	570	2998	450		597	20621	1990		13324		Deferred Revenue	Reps and Warranty Reserves	Miscellaneous Liabilities	
99442														4700		1827	0					2601	272	0							
99536														21569		12887	0					5381	3301	0							
99853														76		26	0					15	35	0							
100236														5271		3615	0					304	1222	130							
100357														14497		12720	0					978	307	492							
100562														176980	0	150693	0	0	65606	38934	0	5670	14717	5900	0	0	0	Low income housing fund commitments	SERP & MPL		
100777														5197		3246	0					1599	352	0							
100843														3708		2695	0					207	731	75							
101037														12825		5651	0					5932	1242	0							
101439														996		339	0					150	507	0							
101671														16465		15710	0		10387			652	1	102				LT Lease Liability			
101738														4474		3208	0					441	765	60							
101952														800		0	0					115	685	0							
102333														73		2	0					20	51	0							
102342														2911		629	0					1853	429	0							
102557														3472		2827	0					380	265	0							
102874														991		216	0	216				400	375	0							
103134														249		0	40					28	74	107							
104234														707		439	0					32	236	0							
104542														468		193	0					159	116	0							
104971														43		12	0					0	31	0							
105026														4968		2043	0					337	2524	64							
105473														25854		10747	0					251	14073	783							
105530														2613		2113	0					214	286	0							
106359														22518		11405	0					2502	7611	1000			8774	Unearned revenue			
106452														3610		1187	0					87	2111	225							
106676														356		36	0					206	69	45							
107244														410159	0	155396	19973	0	0	0	0	24648	52014	158128	0	0	59869				
107570														3712		1158	0					486	2068	0							
107758														321		215	0					36	70	0							
108072														844		191	0					30	585	38							
108269														2263		2257	0					4	2	0							
108652														106		97	0					9	0	0							
108746														288		160	0					93	35	0							
108951														6221		2724	0					1114	2083	300							
109136														3415		1606	0					821	603	385							
109154														526		0	0					228	298	0							
109453														911		7	63					537	304	0							
109574														4221		3116	0					37	1068	0							
109659														6380		5154	0					599	477	150							
110413														6665		1534	0					81	5050	0	1140						
110936														10404		5330	0					814	3562	698							
110945														840		19	0					340	451	30							
110972														201		5	0					64	115	17							
111157														612	0	348	57	18	19	0	0	103	104	0	311	0	0	DDA Suspense			
111205														6386		1126	0					358	4032	870							
111942														4240		2435	0					226	1090	489							
111979														3809		433	0					113	3263	0							
112163														27738		18583	0					4654	4501	0	5917		12643				
112332														945		532	0					354	38	21							
112510														567		0	0					60	507	0							
112556														924		519	0					162	243	0							
112837	20656662	0	9479667	0	0	2370890	0	0	10711120	158363	0	0	0									307512						Liability for Card Association cash in transit			
113003														30463		3638	26554		1023	1668		2	269	0				Pension 87	Fasb 106		
113030														783		0	0					191	443	149							
113441														6570		3741	0					408	2421	0							
113601														22667		16301	0					293	2189	3884							
113740														5917		0	0					2677	2240	1000							
114149														2941		73	0					165	2703	0							
114260														28977	0	2964	0	0	0	0	0	2563	22275	1175	0	0	2633				
114457														453		39	0					284	87	43							
114774														959		2	698					40	219	0							
114840														1836		175	0					343	1018	300							
114859														368		163	29					109	67	0							
115146														391		34	0					356	0	1							
115575														8041		4786	0					87	2759	409							
116358														158		14	0					90	54	0							
116554														429		427	1					1	0	0							
116741														285		0	0					210	75	0							
117038														2429	180	1461	0	0	0	0	0	600	319	49	1281	0	0				
117074														5003		4718	0					10	266	9							
117458														8043		2292	0					1673	4053	25							
117775														6359	0	5647	0	82	5213	352	0	16	696	0	0	0	0	Factoring Liabilities	Lease Liability		
118156														7114		2855	0					1916	2343	0							
118660														1311		978	0					0	333	0							
118736														2107		1247	0					235	625	0							
119153														961		620	0					142	88	111	297						
119779														5148		0	0					74	4872	202							
119872														4165		2498	0					136	1073	458							
120476														377		16	0					131	230	0							
120542														1037		4	0					815	218	0							
120609														16517		12228	0					51	3901	337							
120953														1235		2	0					478	755	0							
121642														83347		34611	0					6848	30892	10996		87	34524				
121651														1452		0	0					489	963	0							
121914														2562		1714	0					143	705	0							
122153														323		0	0					111	212	0							
122546														167		23	0					142	2	0							
122854														243032		187558	0		100229			31830	19279	4365				Litigation settlement and legal fees payable			
123075														321		130	0					97	94	0							
123374														498		347	0					109	42	0							
124344														6378		4497	0					1744	137	0							
124830														1816		124	0					296	1382	14							
125154														20015		15205	0		5695			27	4690	93			9510	RETIREMENT BENEFIT OBLIGATION			
125855														4172		0	0					220	3952	0							
125873														334		60	0					0	274	0							
126012														10312		7197	360					335	2114	306							
126049														152		0	0					75	76	1							
126375														1802		893	0					262	647	0							
126553														2464		1697	0		448	542		205	562	0				Mortgage Liability	Banker's Acceptance		
126834														4315		26	0					3491	798	0							
127055														456		0	0					332	124	0							
127224														1431		0	0					557	874	0							
128258														228		0	5					74	99	50							
128904														556795		356767	0		159230			10988	174096	14944		93702		Tax Credit Investments Commitments			
129349														1831		1214	42					176	321	78							
129358														1914		1020	0					173	510	211							
129479														8061		4780	0					522	2642	117							
129732														182102	0	104375	0	0	76260	0	0	16954	56047	4726	0	0	0	A/P - Due to Broker/Counterparty			
129853														1256		87	0					440	729	0							
129910														5244		2577	0					653	1922	92							
130345														6270		1195	0					230	4708	137							
130541														70075		52764	0	5002				2948	13631	732	274						
131436														5062	0	2938	0	0	0	0	0	106	1402	616	2884	0	0				
131717														509	0	116	0	0	116	0	0	40	353	0	0	0	0	Escrow loan account			
131940														609		366	0					73	57	113							
132107														39767		20278	0					525	17959	1005							
132451														310		31	0					172	107	0							
132778														213		116	0					1	95	1							
132938														482		49	0					156	250	27							
133579														8449		7325	0		2167	2441		25	1099	0	1632			RETIREMENT PLAN	ESCROW RESERVE		
133850														18163		1899	0					2362	11730	2172							
133971														6365		5494	0					40	831	0							
134156														1597		58	561					189	777	12							
134437														13626		7710	0					1760	3991	165							
134455														1740		785	0					444	511	0							
134848														668		182	0					394	92	0							
135836														811		0	0					106	705	0							
135854														736		113	71					420	132	0							
136048														1856		594	0					699	563	0							
136338														3324		569	0					217	2538	0							
136655														709		362	0					177	170	0							
137205														22401		12110	0					1094	7955	1242							
137447														3823		2267	0					570	885	101							
137456														309		0	0					58	251	0							
137559														467		97	0					207	163	0							
137643														759		294	0					191	274	0							
137652														19958	0	7830	4039	3596	0	0	0	268	7780	41	0	0	3671				
137915														151353		30471	57112	1086	16027			161	55748	7861				Lease liability			
138051														813		0	116					628	69	0							
138257														420		152	0					134	109	25							
138556														1205		1038	0					131	28	8							
139133														3981		2695	0					359	927	0	1805		21				
139478														2827		477	0					1	2264	85							
139553														8992		909	0					1056	6832	195							
139656														35843	0	12959	0	0	0	0	0	7589	13838	1457	0	5103	4593				
139740														35522		23591	0					4637	4950	2344		18512					
139843														46863		33224	0			18663		2398	8449	2792					Collateral held for derivative position		
140157														1075		0	0					370	705	0							
140362														37000	0	22186	0	0	0	0	0	267	13297	1250	0	13027	8734				
140634														366		9	0					228	129	0							
141211														6600		5234	0					969	354	43							
141350														2171		1577	0					431	163	0							
141556	58357	0	32309	0	0	10359	0	0	14417	801	0	0	0									10830						INVESTMENT IN TAX CREDITS PAYABLE			
141677														723		300	0					61	362	0							
141958														432		0	0					397	35	0							
142049														1221		0	0					301	878	42							
142179														2177		1551	0					246	380	0							
142955														8123		5967	0					728	1428	0							
143372														1653		1236	0					84	313	20							
143662														1049246		830515	0					20718	176531	21482		403822					
143859														2136		297	0					795	1044	0							
143952														2448		2106	28					160	112	42							
144034														5044		3787	0					490	717	50							
144052														2515		1059	0					588	738	130							
144155														10525		9730	0					242	553	0			9730				
144678														3694		3393	0					5	296	0							
144856														3495		244	0					464	2787	0				POST RETIREMENT BENEFIT			
144913														3609		2614	0					981	14	0							
145059														1086		664	0					359	63	0							
145545														6207		4536	0					996	610	65							
145554														1521		709	0					44	570	198							
145741														953		0	0					751	202	0							
145844														1699		0	0					468	1231	0							
146056														246		163	0					52	16	15							
146663														5574		2451	0					465	2555	103							
147651														302		4	0					47	251	0							
147679														5158		3732	0					254	1151	21							
147857														1168	0	224	0	9	0	0	0	613	331	0	0	0	0				
147923														1931		1485	0					294	0	152							
148171														1026		755	0					71	150	50							
148238														2265		632	0					408	1225	0							
148340														852		451	0					352	49	0							
148470														10338		9106	0					129	1103	0							
148715														466		171	0					57	238	0							
148920														74		0	0					28	46	0							
149150														632		77	0					78	477	0							
150035														18484		12510	0					2226	2803	945	4872						
150044														9004		4645	0					346	4013	0							
150727														5301		3783	0					576	584	358							
151546														470		0	0					197	273	0							
151957														4026		3	0					1502	2521	0							
152057														3915		0	0					15	3900	0							
152253														741		4	0					445	292	0							
152440														495		32	0					274	189	0							
153054														1348		375	0					188	785	0							
153353														11994		7922	0					1369	2234	469							
154154														3703		2136	0					810	505	252							
154770														12135		7741	0					333	2796	1265							
155759														120		0	0					120	0	0							
156457														371		0	0					340	9	22							
156970														856		39	0					114	659	44							
157155														490		252	0					113	115	10				Accrued Salary Continuation Liability			
157379														262		132	0					5	95	30							
157650														1020		278	0					113	589	40			149				
157744														3065		2391	0					139	535	0							
157856														73		65	0					8	0	2							
158376														145		81	0					48	16	0							
158741														1102		402	50					466	176	8							
159636														39757		10080	0					20433	6083	3161	5663		4372				
159645														1008		0	0					152	856	0							
159953														624		250	0					237	137	0							
159971														11547		7664	0					152	3731	0							
160360														7692		5236	0					67	1754	635							
160454														1499		256	0					115	1128	0							
160959														14752	0	4008	0	0	0	0	0	3744	6025	975	0	0	3944				
161273														23910		15516	0					47	7357	990							
161602														65195		44668	0					4234	14683	1610							
162337														12683		5410	0					3485	2788	1000							
163343														283		0	0					61	222	0							
163549														37264		22373	0					2338	11603	950	17780	4592					
163857														6408		4652	0					507	1249	0							
164153														1026		821	0					71	134	0							
164331														360		133	0					75	141	11							
164377														3562		2945	0					372	184	61							
164957														391		0	0					102	289	0							
164975														241		64	0					0	177	0							
165628														714519		539904	0					30631	126989	16995		369628					
165758														1106		229	0					90	787	0							
166111														2367		33	1750					18	566	0							
166531														2130		272	0					590	1268	0							
166652														6351		851	0	31				830	4670	0	27		793				
166849														1278		669	0					608	1	0							
167453														440		1	0					206	233	0							
167752														103		74	0					8	21	0				25520 Income Tax Payable	12186 Escrows		
168357														1757	0	714	0	2	0	0	0	234	617	192	620	0	0				
168571														1582		317	0					409	796	60							
169354														1281		127	0					357	570	227							
169653														80513		63133	0					2541	12154	2685		23149	22906				
169756														831		668	0					76	87	0							
170257														269		142	0					23	104	0							
170275														2048		1096	0					23	929	0							
170332														1956	0	1290	0	723	0	0	0	407	168	91	492	0	0				
171133	6046	0	4100	0	0	0	0	0	395	165	0	0	4045									1386									
171656														589		389	0					200	0	0	377						
171759														751		104	0					121	526	0							
171768														6167		476	0					1546	3542	603							
172251														85		0	0					54	31	0							
172457														1873		1264	0					83	526	0							
172475														5353		4042	0					77	1098	136							
172859														1762		1045	0					175	542	0							
173306														6933		3480	0					60	3331	62			3027	Due to Housing VT			
173342														554		1	0					179	364	10							
173557														1206		184	0					49	930	43				ATM Charges Payable			
173575														12182		9887	0					138	2157	0	2034						
