"IDRSSD"	RCFD1248	RCFD1249	RCFD1250	RCFD1251	RCFD1252	RCFD1253	RCFD1254	RCFD1255	RCFD1256	RCFD1403	RCFD1406	RCFD1407	RCFD1583	RCFD1594	RCFD1597	RCFD3505	RCFD3506	RCFD3507	RCFD3529	RCFD3530	RCFD5377	RCFD5378	RCFD5379	RCFD5380	RCFD5381	RCFD5382	RCFD5389	RCFD5390	RCFD5391	RCFD5459	RCFD5460	RCFD5461	RCFD6558	RCFD6559	RCFD6560	RCFDB575	RCFDB576	RCFDB577	RCFDC226	RCFDC240	RCFDC241	RCFDC410	RCFDC411	RCFDF166	RCFDF167	RCFDF168	RCFDF169	RCFDF170	RCFDF171	RCFDHK26	RCFDHK27	RCFDHK28	RCFDK036	RCFDK037	RCFDK038	RCFDK039	RCFDK040	RCFDK041	RCFDK042	RCFDK043	RCFDK044	RCFDK102	RCFDK103	RCFDK104	RCFDK120	RCFDK121	RCFDK122	RCFDK123	RCFDK124	RCFDK125	RCFDK126	RCFDK127	RCFDK128	RCFDK138	RCFDK139	RCFDK140	RCFDK213	RCFDK214	RCFDK215	RCFDK216	RCFDK217	RCFDK218	RCFDK274	RCFDK275	RCFDK276	RCFDK277	RCFDK278	RCFDK279	RCFDK280	RCFDK281	RCFDK282	RCFDL183	RCFDL184	RCFDL185	RCFDL186	RCFDL187	RCFDL188	RCFNB572	RCFNB573	RCFNB574	RCON1226	RCON1227	RCON1228	RCON1248	RCON1249	RCON1250	RCON1254	RCON1255	RCON1256	RCON1403	RCON1406	RCON1407	RCON1583	RCON1594	RCON1597	RCON1606	RCON1607	RCON1608	RCON3493	RCON3494	RCON3495	RCON3499	RCON3500	RCON3501	RCON3505	RCON3506	RCON3507	RCON5380	RCON5381	RCON5382	RCON5398	RCON5399	RCON5400	RCON5459	RCON5460	RCON5461	RCON6558	RCON6559	RCON6560	RCONB575	RCONB576	RCONB577	RCONB834	RCONB835	RCONB836	RCONC226	RCONC229	RCONC230	RCONC236	RCONC237	RCONC238	RCONC239	RCONC240	RCONC241	RCONC410	RCONC411	RCONF166	RCONF167	RCONF168	RCONF172	RCONF173	RCONF174	RCONF175	RCONF176	RCONF177	RCONF178	RCONF179	RCONF180	RCONF181	RCONF182	RCONF183	RCONF661	RCONF662	RCONF663	RCONHK26	RCONHK27	RCONHK28	RCONK036	RCONK037	RCONK038	RCONK039	RCONK040	RCONK041	RCONK042	RCONK043	RCONK044	RCONK102	RCONK103	RCONK104	RCONK105	RCONK106	RCONK107	RCONK108	RCONK109	RCONK110	RCONK111	RCONK112	RCONK113	RCONK114	RCONK115	RCONK116	RCONK117	RCONK118	RCONK119	RCONK120	RCONK121	RCONK122	RCONK123	RCONK124	RCONK125	RCONK126	RCONK127	RCONK128	RCONK130	RCONK131	RCONK132	RCONK138	RCONK139	RCONK140	RCONK213	RCONK214	RCONK215	RCONK216	RCONK217	RCONK218	RCONK257	RCONK258	RCONK259	RCONK274	RCONK275	RCONK276	RCONK277	RCONK278	RCONK279	RCONK280	RCONK281	RCONK282	RCONL183	RCONL184	RCONL185	
1669																																																																																																					0	0	0							72	1598	179	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0				0	0	0	147	0	0	0	0	0	0	0	0	0	0	0		0	0	918	153	36	0								0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0		0	0																															149	8	62	224	18	10																
1856																																																																																																					0	0	0							0	440	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	211	0	0	0								0	0	0	0	0	0	0	3	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0		0	0																															34	0	0	28	0	0																
2161																																																																																																					0	0	0	0	0	0	0	0	0	608	1526	492	0	0	0	5	326	125	0	0	483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1515	166	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	483	0	0	483	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
2732																																																																																																					0	0	0							356	713	0	0	0	0	0	0	0	0	0	0	713	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	356				0	0	0	0	0	0	0	0	0	0	0	0		0	0																															0	0	0	0	0	0																
2750																																																																																																					0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0		0	0																															0	0	0	0	0	0																
3252																																																																																																					0	0	0							910	1233	117	220	451	0	159	117	81	411	0	47	0	0	0	0	0	0				0	0	0	451	0	220	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0								0	0	0	0	0	0	0	55	0	0	0	472				0	0	0	0	0	47	0	0	43	0	0	0		0	0																															33	0	19	124	0	71																
3458																																																																																																					0	0	0							647	620	0	0	0	0	11	0	2	86	0	0	0	0	0	0	0	0				0	0	0	9	0	276	0	0	0	0	0	0	0	0	0		0	0	248	0	0	0								0	0	0	0	0	0	0	250	0	0	343	26				0	0	0	0	0	0	0	0	0	0	0	0		0	0																															13	0	0	3	0	0																
3720																																																																																																					0	0	0							82	145	61	0	0	0	11	49	1	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		64	0	121	8	0	0								0	0	0	0	0	4	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0		0	0																															0	0	0	13	4	13																
3971																																																																																																					0	0	160							14830	12868	811	0	0	0	6215	756	1284	0	0	0	0	0	0	0	0	0				50	0	32	0	0	0	0	0	0	0	0	0	0	0	0		396	150	172	55	0	0								647	4495	0	0	0	154	0	0	0	0	0	11705				0	55	438	0	0	96	0	0	96	0	0	0		0	0																															0	0	0	1289	0	949																
4156																																																																																																					0	0	0							89	349	0				0	0	0	0	0	49	0	0	0	0	0	0				0	0	0	0	0	39	0	0	0	0	0	0	0	0	0		1	0	23	0	0	0								326	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	39	0	0	39	0	0	0		0	0																															0	0	0	0	0	0																
4231																																																																																																					0	0	0							206	248	0				17	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		26	0	185	0	0	0								0	0	0	0	0	0	0	0	0	0	173	0				0	0	0	0	0	0	0	0	0	0	0	0		0	0																															20	0	0	26	0	7																
5069																																																																																																					0	0	0							10501	0	999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	999	0	0	0	0	0	0	0	0	0	0	0	0	0		10501	0	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0		0	0																															0	0	0	0	0	0																
5135																																																																																																					0	0	0							4685	711	137	92	32	29	38	82	10	183	0	3326	0	0	0	0	0	0				0	0	0	32	29	92	0	0	0	20	4	4	0	0	0		829	0	226	20	69	0								0	13	0	0	0	0	0	0	0	0	392	0				0	0	5	0	0	0	0	0	0	0	0	0		0	0																															46	0	24	84	2	8																
5210																																																																																																					0	0	0							2549	2062	1045	0	0	0	105	0	470	101	147	328	0	0	0	0	0	0				905	215	195	67	0	0	0	0	0	0	0	0	0	0	0		343	0	646	657	37	0								0	0	0	0	0	0	0	193	0	0	1213	0				0	0	0	0	0	0	0	0	0	0	0	0		0	0																															0	0	0	8	26	0																
5461																																																																																																					0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0		0	0																															0	0	0	0	0	0																
5751																																																																																																					0	0	0							123	1665	127	0	1120	0	504	0	0	0	0	0	0	0	0	0	0	0				0	0	0	1120	0	0	0	0	0	0	0	0	0	0	0		0	0	0	127	0	0								0	0	0	0	0	0	0	0	0	0	113	0				0	0	0	0	0	0	0	0	0	0	0	0		0	0																															41	0	4	0	0	6																
6039																																																																																																					0	0	0	0	0	0	0	0	0	907	2150	0	0	0	0	7	0	160	1089	0	498	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	164	0	318	0	0	0	0	0			0	0	0	181	0	0	0	0	0	507	1	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0				
