"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDB556	RCFDC010	RCFDFT33	RCFDFT34	RCFDFT35	RCFDHT80	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONB556	RCONC010	RCONFT33	RCONFT34	RCONFT35	RCONHT80	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
5210																				5477	24025	138787		22167				7727					0	72813	0	6578				
5461																				4516	970	19932		2100				2754					0	9592	0	0				
5751																				594	583	9247		512				2527					0	3481	0	1550				
6039																				325	1055	7668	745	1661	560			2478					0	2149	0	0	Annuity Asset			
6329																			1203	2045	12742	49589	1304	9842	6156			7336		76			0	14747	0	2877	UNPOSTED DEBITS			
7009																				0	294	11457		8396				2767					0	0	0	0				
7045																			0	669	5519	7721	248	314	0	0	0	1219	0	0	0	0	0	0	0	0				
7072																				3474	2580	21706		4844				1793					0	9015	0	0				
7456																				586	0	4892		175				2298					0	1833	0	0				
7634																				98	0	1008		311				599					0	0	0	0				
8462																				21	0	1188		3				1164					0	0	0	0				
8631																				347	720	4036		80				217					0	2672	0	0				
9357																				789	0	8479		5748				1942					0	0	0	0				
9553																				3166	0	11549		279				4048					0	3021	0	1035	Nebraska Fund XV Investment			
9807																				8150	0	154831	765	2767				11890					0	38604	93420	0				
9955																				3088	210	4457		102				1057					0	0	0	0				
10250																				2816	0	6424		1136				2108					0	364	0	0				
10849																				580	2143	4669		511				1435					0	0	0	0				
11145																				1590	6313	23074	1470	5450	984	1325		1823	1671				0	6771	0	1127	Marble Cliff Capital	Great Lakes Capital Fund		
11640																				3059	5379	27139		2195				4980					0	11526	0	0				
11837																				139	2499	3216		77				501					0	0	0	0				
12030																				20894	2579	28796		555				3335					0	1433	0	0				
12142																				763	3758	13165		1217				1618					0	3040	0	2769				
12311	0	672470	649169	6711617	0	2007786	590436	0	0	680815	0	0	0	0	0	743908	876127	1081342		672470																	~Income Tax Receivable			
12647																				578	0	2102		369				1155					0	0	0	0		0		
12946																				8662	37736	82390		6062				13623					0	3762	12545	0				
13103																				6985	21142	74063	2611	24289				7857	14715				0	13790	0	0				
13251																				723	0	1721		95				339					0	564	0	0	Employee retention credit			
13457																				0	0	438		39				399					0	0	0	0				
14155																				755	0	10497		586				3887					0	5269	0	0				
14650																				151	0	1982		128				277					0	1426	0	0				
14753																				181	181	1222		112				748					0	0	0	0				
14865																				1283	5501	30074		1898				9563					0	8056	1885	1888				
14977																			0	24	105	979	69	73	0	0	0	777	0	0	0	0	0	0	0	0				
16551																				2893	0	9898		621				1760					0	4624	0	0				
17110																				219	0	4206	1153	3724	1762			263					0	0	0	0	Investment Advisory/Trustee Fees Receivable			
17147																			0	41801	123383	778020	0	217492	0	0	0	89995	114541	0	0	0	0	214626	72542	18181				
17259																				373	0	3019		101				419					0	2126	0	0				
17950																				2729	14885	25009		811				6283					0	0	0	301				
17978																				313	113	1719		301				992					0	0	0	0				
18050																				3977	0	21499		3528				3379					0	10615	0	0				
18827																				12136	7483	92449		19280				16330					0	20238	0	16982				
18836																				560	1498	8306		1271				523					0	4454	0	0				
18854																				1251	7172	20790	1081	3598				8769					0	0	0	0				
19356																				508	0	4666		540				671					0	2947	0	0				
19936																				559	4350	14262		665				2241					0	6447	0	0				
19972																				33	403	6350		52				281					0	4133	0	1448				
20053																				461	497	3389		42				1070					0	1319	0	0				
20633																				1816	3546	15536		1659				1068					0	7447	0	0				
20857																				1275	0	9956		461				8042					0	178	0	0				
21256																				59	0	562		17				110					0	376	0	0				
21359																				318	0	1394		197				692					0	187	0	0				
21658																				1149	0	6272	150	164				1167					0	3190	0	602				
22048																				1181	0	10474		2195				1315					0	5783	0	0				
22543																				824	0	3898		1941				1133					0	0	0	0				
22552																				808	0	2525		108				1609					0	0	0	0				
22730																				472	5500	11756		1088				1170					0	3526	0	0				
23456																				1076	0	6411		398				1825					0	3112	0	0				
23504																			0	90085	60752	602376	21824	50573	0	0	0	53566	17663	0	0	0	0	292206	36233	18961				
23643																				1776	0	9424		268				1208					0	3379	0	2793				
23755																				873	0	8224		465				1095					0	5791	0	0				
24006																				6218	19940	89567		18786				7926					0	32945	0	3752				
24378																				437	208	1363		419				299					0	0	0	0				
24659																				56	0	903		6				841					0	0	0	0				
24949																				1581	3202	17255		492				1431					0	10549	0	0				
25357																				3566	0	12013		439				8008					0	0	0	0	Bookkeeper rejects			
25647																				1315	1635	4670	275	379				1341			104		0	0	0	0				
26765																				13579	0	105621		6889				12589					0	53710	529	18325				
27070																				8066	6369	50627		2050				2910					0	31232	0	0				
27548																				1930	21356	46074		8328				2961					0	11499	0	0				
27614																				899	11031	23978		957				2462					0	8629	0	0				
27847																				2271	0	28188		1773				4831					0	14685	0	4628				
28013																				51232	43264	292409	2572	9967	6081			17355					0	105495	0	65096	City and State Taxes			
28152																				642	0	7622	74	1950				1345	1876				0	3685	0	0				
28675																				1484	1950	4684	133	297				953					0	0	0	0				
28732																				207	1145	3131		193				547					0	1039	0	0				
29476																				692	415	5981		480				1411					0	2983	0	0				
29636																				3041	31149	70837		5743				4712					0	19008	796	6388				
29878																				2457	11485	27783	765	7284	1438	4795		6557			286		0	0	0	0	Seat License, CRA Investment, Right of Use	Additional Minimum Liabilty Pension		
30052																				123	0	326		51				152					0	0	0	0				
30502																				4328	17151	33957		8582				3896					0	0	0	0				
30650																				432	458	1372		91				391					0	0	0	0				
30810		51841	2536537	4414993		430240		279422		1396375					0	0	0	0																				Investment Receivable		
31134																				155	1326	3814	397	426				1245					0	662	0	0				
31255																				3707	0	26873	1628	2862				4824					0	13391	0	2089				
31657																				382	0	5364		251				660					0	1492	0	2579				
31826																				1910	1932	12098	389	1729				1638					0	4889	0	0	Deferred Compensation			
31835																				1953	1563	19403		399				2320					0	12293	0	875				
32234																				2815	7918	19297		6206				2358					0	0	0	0				
32766																				2011	0	2981		178				792					0	0	0	0				
32971																				1427	3079	16475		965				1161					0	9543	0	300				
33147																				795	0	12584		3014				3789					0	4219	0	767				
33259																				2525	7210	32058		3152				3453					0	15718	0	0				
33370																				253	273	564		0				38					0	0	0	0				
33839																				90	0	682		273				319					0	0	0	0				
33857																				9073	0	20085	2144	2229				8783					0	0	0	0				
34434																				1055	0	6163		1318				1418					0	2372	0	0				
34537																				72753	127098	642971		97794				48563	44277				0	281070	0	15693	Deferred Comp			
34555																				4435	0	16475	698	879				3514		92	1		0	7647	0	0				
34742																				3542	2394	20768		1388				2389					0	11055	0	0				
35057																			0	859	60	5979	241	740	0	0	0	1357	0	0	0	0	0	2201	0	762				
35301	0	410000	941000	39965000	0	33974000	20235000	0	0	910000	0	0	0	0	0	652000	3078000	0		407000																	Collateral deposits, net			
35646																				1486	843	5953		56				393					0	3175	0	0				
35879																				1076	5091	14707		446				685					0	7409	0	0				
36456																				301	1833	5218		243				1991					0	850	0	0				
36933																				968	3484	10426		583				1631					0	3760	0	0				
37051																				589	0	1815		107				896					0	223	0	0				
37341																				611	0	2377		40				529					0	1197	0	0				
37435																				1694	14063	32077		8919				7401					0	0	0	0				
37640																				14763	82420	241314		41707				19479	10682				0	54385	0	28560				
37659																			53	50	0	2293	4	713	0	0	0	473	0	0	0	0	0	1057	0	0				
37949																				481	0	10122		203				2491					0	6947	0	0				
38740																				2388	5213	15998		365				1254					0	6778	0	0				
39327																				651	5224	31851		3074				2182					0	20185	535	0				
39756																				1130	0	20300	519	1370				6372			296		0	8096	0	3332	0			
40033																				317	0	4045		813				192					0	932	0	1791				
40499																				24788	18799	198196		41740	15023			17506					0	88150	1868	5345	DEFERRED COMPENSATION PLAN			
40855																				848	0	2347		69				1430					0	0	0	0				
41553																				459	0	3085		47				690					0	1889	0	0				
41629																				1580	314	6219		2804				1035					0	486	0	0				
41825																				1364	5276	17919	1016	1650				2685			118		0	4951	0	1993	Other Assets	Health Insurance Reserve		
42037																				64	1340	4381		111				532					0	2060	0	274				
42354																				623	0	7050		114				1470					0	4843	0	0				
42372																				563	4073	13489		751				1432					0	6670	0	0				
42420																			762	48979	76548	511131	11706	115094	26327			41976	61171				0	149160	69665	9709	Limited Partnership Investments			
42448																			0	8739	991	48441	1785	3147	0	0	0	14677	0	264	0	0	0	20887	0	0				
42457																				618	0	1958		605				735					0	0	0	0				
43052																				2294	129	7920		694				441					0	4362	0	0				
43351																				826	113	9530		702				5428					0	0	1278	1183				
43856																				1345	430	4126		581				226					0	1544	0	0				
43959																				478	4042	10937		179				651					0	5587	0	0				
44040																				1393	6419	18791		235				4776					0	5968	0	0				
44433																				3648	3215	10102	579	1036				2203	218				0	0	0	0				
44741																				1459	4295	9955		1360				2841					0	0	0	0				
44750																				2199	3025	11765		369				802					0	3571	0	1799				
44929																				570	0	4584	205	211				537					0	1453	0	1813				
45038																			0	219	4158	7553	0	146	0	0	0	942	0	0	0	0	0	2088	0	0				
45047																				709	0	2923		574				1640					0	0	0	0				
45056																				224	445	1994		100				1225					0	0	0	0				
45430																				479	2677	7296		140				391					0	1985	0	1624				
45458																				2742	4400	12235		521				1613					0	2857	102	0				
45551																				6103	10924	53133		6433				12589					0	13984	0	3100				
45560																				10889	0	62522	11637	13725				7645					0	26188	0	4075				
45775																				1014	2217	8391		279				524					0	4357	0	0				
46053																				2503	0	10489		410				1161					0	6082	0	333				
46941																				501	0	6170		153				841					0	1752	0	2923				
47247																				7672	1530	45444	2367	13106				3842	310	258			0	19294	0	0				
47500																				413	1659	22289		2523				1298					0	16396	0	0				
48057																				535	1031	4602		60				1124					0	1852	0	0				
48150																				277	180	1585		16				342					0	770	0	0				
48374																				10979	0	68208		12466				15351					0	28286	0	1126				
48440																				947	2601	8729		71				815					0	4295	0	0				
49054																				2718	0	4651		298				1635					0	0	0	0				
49148																				284	162	3227		142				964					0	1675	0	0				
49241																				13345	5786	61030		3480				6799					0	24579	0	7041				
49652																				934	1014	8590		93				1520					0	5029	0	0				
49858																				1095	255	6376		317				502					0	4207	0	0				
49951																				319	0	5116		284				1581					0	2932	0	0				
50144																				356	426	5181		324				324					0	3751	0	0				
50461																				0	1934	2590		51				605					0	0	0	0				
51253																			0	6295	0	23270	1803	4920	1531	0	0	6149	0	0	0	0	0	5906	0	0	Taxes			
51356																				0	0	305	74	74				231					0	0	0	0				
51459																				3145	807	12091		234				3029					0	4876	0	0				
51842																				913	3233	14159	296	3532	2921			2494					0	3987	0	0	FASB 115 Sed G (l) Def Tax			
52719																			0	6402	30815	92223	0	55006	0	0	0	0	0	0	47985	0	0	0	0	0				
52951																				1309	3275	8299		211				3504					0	0	0	0				
53051																				5	0	435		27				403					0	0	0	0				
54058																			4	1772	624	8104		355	289			5353					0	0	0	0	Accrued Income Tax Receivable			
54656																				3049	0	28450	378	503				6676					0	14056	0	4166				
54973																				121580	127735	501585	9797	36766	21783			29361					0	186143	0	0	Prepaid Pension Benefit			
55336																				2450	3857	15556		4233				2165					0	2851	0	0				
55635																				279	511	2806		1302				714					0	0	0	0				
55653																				310	138	951		60				443					0	0	0	0				
55970																				761	3299	24646		1093				1736					0	13531	0	4226				
56258																				8	0	6124		264				1619					0	4233	0	0				
56351																				10301	11086	110234	5390	15276	5055			13728					0	59843	0	0	Right of Use Asset			
56548																				3800	2348	17377		903				2063					0	8263	0	0				
56717																				6144	9733	53579		6787				3735					0	22771	0	4409				
57040																				282	1359	3577	127	127				1809					0	0	0	0				
57451																				1585	8516	21803		800				3064					0	7838	0	0				
58225																				1325	3636	16559		2302				1305					0	6794	0	1197				
58243																				37567	23979	328564	3266	108925	18234			24874	77288	5124	4516		0	94084	39135	0	NMTC Receivable			
58355																				223	0	508		41				244					0	0	0	0				
58551																				0	0	9166		737				2672					0	5242	0	515				
58636																				1820	4927	21436		1701				2667					0	3535	0	6786				
58757																				2136	3416	11722		1263				2621					0	2286	0	0				
58971																				30060	51949	232604	8263	26670				36704					0	87221	0	0				
59316																				8843	25610	99764		11347				7759					0	35941	1288	8976				
59352																				118	1529	11644		178				2058					0	7761	0	0				
59370																				337	1906	15274		543				906					0	8955	0	2627				
59754																				1368	0	2780		944				468					0	0	0	0				
60143	0	942000	1385000	6179000		2072000	931000	567000	0	369000	0				0	1383000	28000	0		942000																	Pension plan assets	Third-party investment firm receivables		
60330																			0	1230	2881	34204	2085	7835	0	0	0	3280	5552	0	0	0	0	10689	0	8289				
60545																				773	607	4301		24				2897					0	0	0	0				
60554																				239	0	2156		53				1240					0	624	0	0				
60648																				712	4580	14703		621				1742					0	6070	0	978				
61122																			41	5251	12441	88174	3628	16541	1905	7476	0	6659	0	0	0	0	0	47282	0	0	ROU lease operating asset	Pension assets		
61355																				8693	11735	56552		6177				7924					0	22023	0	0				
61476																				17383	5015	55181		2010				4116					0	24815	0	1842				
61757																				1520	1071	14702	220	390			160	1766					0	9955	0	0			Debit Card Settlement	
61832																				2014	7698	23737		590				2972					0	5413	0	5050				
61953																				259	0	951		82				610					0	0	0	0				
62044																				167	35	1739		641				237					0	659	0	0				
62110																				126	296	779		299				58					0	0	0	0				
62147																				326	0	2635		130				375					0	1804	0	0				
63050																				25	4289	14252		143				1984					0	7811	0	0				
63069	0	346214	797382	2871763	0	943829	536222	0	0	435146	0	0	0	0	0	105537	243655	0		346214																	Affordable Housing Investments commitment			
63201																				413	3219	7933		918				1039					0	2344	0	0				
63573																				2936	3395	9500		1706				1463					0	0	0	0				
63733																				3174	14798	57587	1018	6113	3569			6674		213			0	21534	0	5294	Insurance Annuity Asset			
64150																				1165	0	7913		818				2022					0	3908	0	0				
64552																				1290	0	16486		9139	2488			1140				2079	0	4917	0	0	Escrow/Foreclosure Advance			
64730																				650	5524	7647		148				1325					0	0	0	0				
65205																				1427	4775	56623		2161				3043					0	32239	0	12978				
65513		375	0	3302	1100	1762				1165			516		0	0	0	0		375																				
65559																				1154	15773	38102	780	962				7101		82			0	13112	0	0				
65858																				693	3001	43243		13402				10330					0	14235	0	1582				
66154																				1343	497	10243		783				1629					0	5991	0	0				
66275																				1122	2067	11626		416				6513					0	1508	0	0				
66677																				7219	0	15328	260	3016	2295	72		687					0	4068	0	338	FHLB MPP - Lenders Risk account	OH Franchise Tax		
67142																				2395	0	4534		1020				1119					0	0	0	0				
67151																				1864	0	11931		6713				3354					0	0	0	0				
67209																				7047	10644	54846		13615				5179					0	18361	0	0				
67254																				0	0	141		92				49					0	0	0	0				
67656																				2857	19497	35836		5160	1899			5408					0	2914	0	0	NEGATIVE CURRENT TAXES			
67870																				1296	2772	19138		1982				1432					0	11656	0	0				
68671																				93	0	2111		1549				469					0	0	0	0				
68756																				1752	0	18728	785	985				6363					0	9628	0	0				
68831																				998	1714	5966		438				976					0	1840	0	0				
69333																			0	4266	0	47670	1809	3868	2005	0	0	6504	0	0	0	0	0	33032	0	0	Right of Use Lease Asset			
69678																				2396	5492	18956		7427				3641					0	0	0	0				
70218																			0	923	292	8568	0	6918	6372	0	0	435	0	0	0	0	0	0	0	0	Right of Use Asset			
70414																				3256	6370	30853		3937				2273					0	13277	0	1740				
70638																				2284	403	11982		1048				3935					0	3021	177	1114				
70955																				0	0	481		51				430					0	0	0	0				
71073																				2796	990	8501		399				524					0	1282	0	2510				
71457																				6107	5305	25064		609				7206					0	5837	0	0				
71859																				137	93	1022		747				45					0	0	0	0				
72258																				0	0	7459		1352				6107					0	0	0	0				
72351																				38	0	650		115				497					0	0	0	0				
72454																				222	928	2203		284				769					0	0	0	0				
72678																				2496	8841	34922		2052				2077					0	19456	0	0				
73116																				828	7120	17443		1284				1862					0	6349	0	0				
73152																				283	0	5492		87				1029					0	3343	0	750				
73554																				2314	549	11893		636				5102					0	3292	0	0				
73956																				211	145	1850		34				434					0	1026	0	0				
74056																				349	570	7643		2651				2497					2	1574	0	0				
74140																				15475	11960	80158		11723	6690			7346					0	30795	0	2859	Investment in Low Income Housing			
74403																				4709	9289	37475	991	3325				3272					0	16880	0	0		Rabbi Trust Asset		
74449																				25	0	117		57				35					0	0	0	0				
75259																				658	414	28406		2572				3393					0	20636	0	733				
75446																				4456	656	18327		1179				3743					0	8293	0	0				
75455																				0	0	194		1				193					0	0	0	0				
75633	0	3201389	3176405	13107946	0	1187044	0	0	0	1084348	0	315129	428615	0	69	1687439	2294365	476887																						
75651																				582	677	3945		196				586					0	1904	0	0				
76153																			16	460	0	1426	52	149				679					0	138	0	0				
76443																				168	0	951		151				632					0	0	0	0				
76854																				1335	4842	20479		871				2302					0	8167	0	2962				
77150																				162	0	794		63				569					0	0	0	0				
77253																				2920	0	27181		5706				2926					0	15629	0	0				
77422																				867	1267	10600		3238				554					0	2430	0	2244				
77851																			0	29607	15806	180659	22315	28269	0	0	0	22901	0	0	0	0	0	84076	0	0				
78157																				100	0	483		136				247					0	0	0	0				
78241																				266	601	1705		140				698					0	0	0	0				
78559																				269	425	4982		3204				1084					0	0	0	0				
79042																				3118	4952	20417		77				3769					0	8376	0	125				
79127																				334	0	3712		172				395					0	2811	0	0				
79145																				2817	786	5205		329				1273					0	0	0	0				
79257																				323	24	672		96				229					0	0	0	0				
79855																				848	282	4516		2167				1219					0	0	0	0				
80150																				627	852	19151		349				7415					0	7862	0	2046				
80374																				419	1341	10369		326				775					0	7508	0	0				
80431																				133	218	1019		102				566					0	0	0	0				
81175																				2228	809	12510		1835				3668					0	3970	0	0				
82033																				634	653	12898		4862				914					0	5835	0	0				
82257																				118	75	668		46				429					0	0	0	0				
82350																				96	1332	3099		136				425					0	1110	0	0				
83151																				492	0	3984		188				956					0	2348	0	0				
83375																				764	0	34207		5311				6116					0	19316	0	2700				
83638		47878	63258	513081		123784				45425	85945				0	232736	0	0		47878																				
83834																				1393	0	5781		586				888					0	2914	0	0	Right of Use Assets	Cash Settlement - Bank Cards		
83852																				68	154	767		229				316					0	0	0	0				
83955																				160	728	4072		67				1466					0	1651	0	0				
84046																				250	1630	3178		0				410					0	0	888	0				
84541																				5842	14386	64179		4064				13856					0	16096	0	9935				
85052																				646	6196	9647		337				831					0	1637	0	0				
85472																				89260	56696	622219		162807				48384	140365				0	109295	109710	46067				
85931																				1623	2723	8355		493				1090					0	2426	0	0				
86349																				1087	0	6804		3974				1743					0	0	0	0				
86675																				4274	13628	34698		1849				603					0	14344	0	0				
87047																				446	3375	10094		224				794					0	5255	0	0				
87234																				2247	3785	39647		13006				2436					0	15586	0	2587	Investment in Subisidiaries			
87476																				1717	984	8012		354				468					0	4489	0	0				
87579																				3156	5240	22006	856	1918	549			1926					0	5508	0	4258	Receivable from NOVO			
88231																				3139	5884	47339		8440				4342					0	25534	0	0				
88259																				335	0	3003		27				729					0	1912	0	0				
88352																				0	0	8919	173	353	10	152		1509		18			0	5810	0	1247	Bedias Mineral Interests, Inc - Subsidiary	Right-of-Use Assets		
88455																				4729	5138	34639		3475				11994					0	7476	116	1711				
88950																				878	82	1921		81				880					0	0	0	0				
89032																				1019	392	4791		553				682					0	1982	0	163				
89135																				173	0	3590		238				303					0	1308	0	1568				
89854																				1159	0	5807		483				1177					0	2988	0	0				
89957																				839	389	4557		1342				702					0	1285	0	0				
90047																				0	0	444		50				394					0	0	0	0				
90177																				2934	166	10498		1150				1206					0	1270	0	3772				
90328																				3338	6498	48588		12779				3203					0	22770	0	0				
90337																				2620	0	22872	1167	2004				1437					0	16811	0	0				
90579																				1754	8968	22343		1912				1767					0	6915	0	1027				
91615																				342	1378	5170		159				727					0	2564	0	0				
91754																				2693	0	24035	1610	2034				4137		87			0	10207	0	4964				
91950																				114	603	3906		119				723					0	2347	0	0				
92144																				122	664	2428		7				470					0	1165	0	0				
92676																				1509	5506	31335	923	1440				2574					0	17004	0	3302				
92706																				1975	7239	22206		1444				977					0	4795	0	5776				
92902																				45	0	355		208				102					0	0	0	0				
93244																				3974	0	12732		828				2236					0	5694	0	0				
93543																				2517	2726	27004		7528				3772					0	6641	0	3820				
93619	0	81	50	19292	0	19161	0	0	0	0	0	0	19030	0	0	0	0	0																						
94139																				1857	6908	28939		2649				2375					0	15150	0	0				
94522																			0	1138	4255	37050	1244	5688	0	0	0	3218	0	0	0	0	0	16302	2179	4270				
94755																				903	2345	11729		44				3193					0	5244	0	0				
94858																				579	0	2358		45				1734					0	0	0	0				
95051																				4843	8938	20472		5078				1613			4789		0	0	0	0				
95677																				223	647	1364		181				313					0	0	0	0				
96553																				318	0	1981		248				1415					0	0	0	0				
97055																				2902	1988	11932		842				6200					0	0	0	0				
97279																				136	311	1439		272				220					0	0	500	0				
97457																				1071	0	5489		274				2070					0	1451	0	623				
97804																				2318	10690	66865		20888				4129					0	28840	0	0				
97943																				3410	1081	10048		148				5409					0	0	0	0				
98351																				195	875	5136		850				724					0	2492	0	0				
98463																				3568	23841	55042		1691				4587					0	16345	4011	999				
98717																			0	661	7434	14224	414	477	0	0	0	812	0	0	0	0	0	4840	0	0				
99143																				2415	4643	19953		1885				3418					0	5746	0	1846				
99376																				16433	3903	70400	4537	35346			3908	14662	17615		9286		56	0	0	0			Miscellaneous Assets	
99442																				864	8019	25969	2162	2512				6954					0	6148	0	1472				
99536																				1208	2908	25708		1813				3814					0	2034	0	13931				
99853																				0	1153	1716		326				237					0	0	0	0				
100236																				337	0	8260		1513				1593					0	4817	0	0				
100357																				5886	0	38141		1165				5622					0	22546	2922	0				
100562																			0	19978	145091	449595	0	113915	93730	0	0	34595	0	0	0	0	0	136016	0	0	Low income housing funds			
100777																				917	6386	32951		2028				2703					0	20917	0	0				
100843																				9082	0	20319		1117				4185					0	3834	0	2101				
101037																				782	18517	26748		2826				4623					0	0	0	0				
101439																				190	0	2171		210				1771					0	0	0	0				
101671																				2413	6665	46593		14369	11072			3439					0	19707	0	0	capital lease assets			
101738																				842	0	8275		2933				1511					0	2989	0	0				
101952																				1442	0	6201		180				609					0	3312	0	658				
102333																				0	928	1315		156				231					0	0	0	0				
102342																				1875	213	5174		223				2863					0	0	0	0				
102557																				693	156	3192		193				516					0	1634	0	0				
102874																				1041	394	2249	145	159				655					0	0	0	0				
103134																				664	0	3244		104				636					0	1840	0	0				
104234																				462	2186	3409		175				586					0	0	0	0				
104542																				68	0	1168		90				353					0	657	0	0				
104971																				25	279	472		100				68					0	0	0	0				
105026																				365	2073	10357		1028				1801					0	5090	0	0				
105473																				6496	6658	32697		11601				7942					0	0	0	0				
105530																				229	4387	11329		301				633					0	4168	0	1611				
106359																				8627	41324	102631		12468				7692	6041				0	19107	0	13413	SERP asset	Payroll settlement		
106452																				824	0	4806		1047				2935					0	0	0	0				
106676																				808	183	1419		227				201					0	0	0	0				
107244																			0	276019	0	1326241	0	91584	0	0	0	154244	0	0	0	0	0	711717	57959	34718				
107570																				2183	3365	20947		1472				2251					0	11676	0	0				
107758																				411	0	2864		65				624					0	1764	0	0				
108072																				745	1960	8362		360				1330					0	3967	0	0				
108269																				114	0	3844		67				480					0	3183	0	0				
108652																				284	105	797		45				97					0	266	0	0				
108746																				36	0	1002		429				537					0	0	0	0				
108951																				5973	2196	16844		516				7767					0	392	0	0				
109136																				828	6578	21469		476				2298					0	11289	0	0				
109154																				843	0	2401		192				744					0	622	0	0				
109453																				1946	210	7686		583				2578					0	2369	0	0				
109574																				2302	4857	20321		1159				1520					0	10483	0	0				
109659																				1861	0	12846		772				1884					0	7899	0	430				
110413																				10462	0	78508	4281	34328	22082	3200		4777					0	26669	0	2272	Prepaid Custodial Broker Income	Accrued Program Revenue		
110936																				1611	13442	32355		6114				11188					0	0	0	0				
110945																				1837	2167	9766		371				1548					0	0	0	3843				
110972																				582	200	3256		120				307					0	2047	0	0				
111157																			0	986	0	4248	223	223	0	0	0	1263	0	0	0	0	0	1776	0	0				
111205																				4893	5117	38730		11671				2188					0	6335	0	8526				
111942																				2546	5116	22942		3424				2352					0	8696	0	808				
111979																				792	0	12194		864				1331					0	9207	0	0				
112163																				24094	12107	119094		29565	20000			11307					0	42021	0	0	Cash receivable from matured investment security			
112332																				262	554	8100		1235				927					0	5122	0	0				
112510																				226	0	2257		161				277					0	1593	0	0				
112556																				425	185	1957		47				1300					0	0	0	0				
112837	0	1379247	8877830	20902669	0	6219884	2242757	0	0	2468467	0	0	0	0	0	110681	1846560	0		1379247																	Misc. Assets (NMTC Loans)			
113003																				202	0	6454	191	511				674		252			0	5067	0	0				
113030																				0	0	887		180				707					0	0	0	0				
