IDRSSD,FDIC Certificate Number,OCC Charter Number,OTS Docket Number,Primary ABA Routing Number,Financial Institution Name,Financial Institution Address,Financial Institution City,Financial Institution State,Financial Institution Zip Code,Financial Institution Filing Type
27847.0,1527.0,0.0,0.0,82904056.0,DIAMOND BANK,319 EAST MAIN STREET ,MURFREESBORO,AR,71958.0,51.0
28013.0,28710.0,718063.0,18063.0,226071457.0,NORTHFIELD BANK,1731 VICTORY BOULEVARD ,STATEN ISLAND,NY,10314.0,41.0
28152.0,11415.0,0.0,0.0,91908179.0,HARVEST BANK,75 NORTH MAIN STREET ,KIMBALL,MN,55353.0,41.0
28675.0,29293.0,703234.0,3234.0,291871226.0,"CUMBERLAND FEDERAL BANK, FEDERAL SAVINGS BANK",1390 SECOND AVE. ,CUMBERLAND,WI,54829.0,41.0
28732.0,1475.0,0.0,0.0,64102384.0,PEOPLES BANK & TRUST COMPANY,1203 HILLSBORO BOULEVARD ,MANCHESTER,TN,37355.0,51.0
29476.0,31711.0,0.0,0.0,284170109.0,RIVERBANK,1700 OLD COUNTY ROAD ,POCAHONTAS,AR,72455.0,51.0
29636.0,12204.0,0.0,10889.0,65302154.0,"CITIZENS BANK OF PHILADELPHIA, THE",521 MAIN STREET ,PHILADELPHIA,MS,39350.0,51.0
29878.0,30303.0,705138.0,5138.0,221472792.0,MASPETH FEDERAL SAVINGS AND LOAN ASSOCIATION,56-18 69TH ST ,MASPETH,NY,11378.0,41.0
30052.0,26658.0,0.0,0.0,111316829.0,AMISTAD BANK,1301 VETERANS BOULEVARD ,DEL RIO,TX,78840.0,51.0
30502.0,14240.0,0.0,0.0,11700425.0,NORTHWAY BANK,9 MAIN STREET ,BERLIN,NH,3570.0,51.0
30650.0,8193.0,0.0,0.0,91008299.0,LAKE COMMUNITY BANK,1964 W. WAYZATA BLVD. ,LONG LAKE,MN,55356.0,51.0
30810.0,5649.0,0.0,0.0,31100649.0,DISCOVER BANK,502 EAST MARKET STREET ,GREENWOOD,DE,19950.0,31.0
31134.0,2160.0,7899.0,11878.0,61202245.0,"FIRST NATIONAL BANK OF WAYNESBORO, THE",626 LIBERTY ST ,WAYNESBORO,GA,30830.0,41.0
31255.0,17612.0,0.0,0.0,113001077.0,CENTRAL BANK,11201 CLAY ROAD ,HOUSTON,TX,770415578.0,41.0
31657.0,11904.0,0.0,0.0,111909443.0,"FIRST STATE BANK OF BEN WHEELER, TEXAS",14269 STATE HWY 64 ,BEN WHEELER,TX,75754.0,51.0
31826.0,6863.0,9924.0,14630.0,51403818.0,POWELL VALLEY NATIONAL BANK,33785 MAIN STREET ,JONESVILLE,VA,24263.0,41.0
31835.0,8243.0,0.0,9803.0,65302675.0,BANK OF ANGUILLA,130 HOLLAND STREET ,ANGUILLA,MS,38721.0,51.0
32234.0,3639.0,1926.0,0.0,71103952.0,FIRST NATIONAL BANK AND TRUST COMPANY,2 KELLI COURT ,CLINTON,IL,61727.0,51.0
32766.0,21693.0,0.0,0.0,111906048.0,LAKESIDE BANK,2805 RIDGE ROAD ,ROCKWALL,TX,75032.0,51.0
32971.0,28894.0,702578.0,2578.0,274970607.0,SECURITY FEDERAL SAVINGS BANK,314 FOURTH STREET ,LOGANSPORT,IN,46947.0,51.0
33147.0,1027.0,0.0,0.0,84101051.0,FARMERS BANK AND TRUST COMPANY,400 WEST MAIN STREET ,BLYTHEVILLE,AR,72315.0,51.0
33259.0,21714.0,0.0,0.0,96005093.0,PREMIER BANK,2866 WHITE BEAR AVE. ,MAPLEWOOD,MN,55109.0,51.0
33268.0,1213.0,0.0,0.0,111307485.0,"ROSCOE STATE BANK, THE",117 CYPRESS STREET ,ROSCOE,TX,79545.0,51.0
33370.0,31723.0,707384.0,7384.0,242170374.0,"HOME SAVINGS BANK, FSB",202 ELM STREET ,LUDLOW,KY,41016.0,51.0
33839.0,10075.0,0.0,0.0,71112354.0,PEOPLES STATE BANK OF COLFAX,101 WEST MAIN STREET ,COLFAX,IL,61728.0,51.0
33857.0,15545.0,0.0,0.0,104913381.0,FRONTIER BANK,"13333 CALIFORNIA ST, SUITE 100 ",OMAHA,NE,68154.0,41.0
34425.0,11200.0,0.0,16871.0,51403850.0,VIRGINIA COMMONWEALTH BANK,"1801 BAYBERRY COURT, SUITE 101 ",RICHMOND,VA,23226.0,51.0
34434.0,22081.0,0.0,15636.0,65302468.0,MAGNOLIA STATE BANK,28 HIGHWAY 528 ,BAY SPRINGS,MS,39422.0,51.0
34537.0,131.0,14838.0,15273.0,67005158.0,SEACOAST NATIONAL BANK,815 COLORADO AVENUE ,STUART,FL,34994.0,41.0
34555.0,14695.0,0.0,0.0,81507014.0,MA BANK,1513 NORTH MISSOURI STREET ,MACON,MO,63552.0,41.0
34742.0,13083.0,0.0,0.0,82901952.0,FIRST WESTERN BANK,80 WEST MAIN STREET ,BOONEVILLE,AR,72927.0,51.0
35057.0,1946.0,0.0,0.0,81506390.0,ALLIANT BANK,101 EAST BROADWAY ,MADISON,MO,65263.0,41.0
35301.0,14.0,0.0,0.0,11000028.0,STATE STREET BANK AND TRUST COMPANY,ONE LINCOLN STREET ,BOSTON,MA,2111.0,31.0
35570.0,28892.0,0.0,0.0,221272031.0,INVESTORS BANK,101 JOHN F KENNEDY PARKWAY ,SHORT HILLS,NJ,7078.0,41.0
35646.0,11235.0,0.0,0.0,75904597.0,BONDUEL STATE BANK,130 NORTH CECIL STREET ,BONDUEL,WI,54107.0,51.0
35879.0,30313.0,0.0,0.0,275971029.0,EAST WISCONSIN SAVINGS BANK,109 WEST SECOND STREET ,KAUKAUNA,WI,54130.0,51.0
36456.0,15907.0,0.0,0.0,104113408.0,COMMUNITY FIRST BANK,122 S. COMMERCIAL ST ,MAYWOOD,NE,69038.0,51.0
36933.0,19163.0,0.0,14828.0,61101113.0,FIRST STATE BANK,300 BROAD STREET ,WRENS,GA,30833.0,51.0
37051.0,13030.0,0.0,0.0,91809524.0,OAKWOOD BANK,40214 SOUTH EKERN AVENUE ,PIGEON FALLS,WI,54760.0,51.0
37341.0,21085.0,0.0,0.0,75907743.0,BANK OF ONTARIO,315 MAIN STREET ,ONTARIO,WI,54651.0,51.0
37435.0,172.0,0.0,10091.0,61107515.0,UNITED BANK,685 GRIFFIN STREET ,ZEBULON,GA,30295.0,51.0
37640.0,17393.0,0.0,0.0,83904563.0,GERMAN AMERICAN BANK,711 MAIN STREET ,JASPER,IN,47546.0,41.0
37659.0,12758.0,0.0,0.0,103111977.0,"FARMERS STATE BANK, ALLEN, OKLAHOMA",201 EAST BROADWAY ,ALLEN,OK,74825.0,41.0
37949.0,11711.0,0.0,0.0,71119289.0,BANK OF RANTOUL,201 EAST CHAMPAIGN AVENUE ,RANTOUL,IL,61866.0,51.0
38740.0,13112.0,0.0,0.0,74912865.0,OWEN COUNTY STATE BANK,201 WEST MORGAN STREET ,SPENCER,IN,47460.0,51.0
39327.0,5874.0,0.0,0.0,52101012.0,"CALVIN B. TAYLOR BANKING COMPANY OF BERLIN, MARYLAND",24 NORTH MAIN STREET ,BERLIN,MD,21811.0,51.0
39756.0,4032.0,0.0,0.0,103112523.0,NBC OKLAHOMA,13401 NORTH PENNSYLVANIA ,OKLAHOMA CITY,OK,73120.0,41.0
40033.0,11817.0,0.0,17580.0,65303810.0,RICHTON BANK & TRUST COMPANY,114 S. FRONT STREET ,RICHTON,MS,39476.0,51.0
40499.0,59070.0,0.0,0.0,211381372.0,HARBORONE BANK,770 OAK STREET ,BROCKTON,MA,2301.0,41.0
40855.0,10980.0,0.0,0.0,91207317.0,ESB BANK,115 HIGHWAY 44 ,CALEDONIA,MN,55921.0,51.0
41553.0,12283.0,0.0,0.0,103101505.0,FIRST STATE BANK,102 WEST MAIN STREET ,ANADARKO,OK,73005.0,51.0
41629.0,6913.0,0.0,15369.0,51404325.0,PIONEER BANK,252 E MAIN STREET ,STANLEY,VA,22851.0,51.0
41825.0,14017.0,0.0,0.0,55001258.0,MIDDLETOWN VALLEY BANK,24 WEST MAIN STREET ,MIDDLETOWN,MD,21769.0,51.0
41955.0,5447.0,0.0,0.0,104102985.0,BANK OF NEWMAN GROVE,416 HALE AVENUE ,NEWMAN GROVE,NE,68758.0,51.0
42037.0,70.0,0.0,0.0,62102593.0,PEOPLES EXCHANGE BANK,2013 HIGHWAY 21 BYPASS ,MONROEVILLE,AL,36460.0,51.0
42354.0,3110.0,8573.0,0.0,111303489.0,"COMMERCIAL NATIONAL BANK OF BRADY, THE",105 E. 2ND STREET ,BRADY,TX,76825.0,51.0
42372.0,30315.0,705153.0,5153.0,253170884.0,FIRST FEDERAL SAVINGS BANK OF LINCOLNTON,320 EAST MAIN STREET ,LINCOLNTON,NC,28092.0,51.0
42420.0,7468.0,0.0,0.0,43306826.0,FIRST COMMONWEALTH BANK,600 PHILADELPHIA ST ,INDIANA,PA,15701.0,41.0
42448.0,3887.0,10004.0,0.0,84100793.0,FIRST NATIONAL BANK,200 WEST COURT STREET ,PARAGOULD,AR,72450.0,41.0
42457.0,12246.0,0.0,0.0,104102642.0,COMMERCIAL BANK,401 SOUTH MAIN STREET ,NELSON,NE,68961.0,51.0
43052.0,9036.0,0.0,0.0,91510075.0,SECURITY STATE BANK,7865 U.S. HIGHWAY 2 ,IRON RIVER,WI,54847.0,51.0
43351.0,17685.0,0.0,0.0,101106528.0,PEOPLES STATE BANK,2401 N SETH CHILD ROAD ,MANHATTAN,KS,66502.0,51.0
43856.0,5141.0,6991.0,0.0,91200848.0,"MINERS NATIONAL BANK OF EVELETH, THE",401 GRANT AVENUE ,EVELETH,MN,55734.0,51.0
43959.0,18155.0,0.0,0.0,113123528.0,BRIDGE CITY STATE BANK,701 W. ROUNDBUNCH ,BRIDGE CITY,TX,77611.0,51.0
44040.0,4364.0,9784.0,0.0,74908426.0,"FIRST NATIONAL BANK OF MONTEREY, THE",6222 EAST MAIN STREET ,MONTEREY,IN,46960.0,51.0
44433.0,25258.0,18283.0,14891.0,67011812.0,"INTERCREDIT BANK, NATIONAL ASSOCIATION",4725 SOUTHWEST 8TH STREET ,MIAMI,FL,33134.0,41.0
44741.0,9647.0,0.0,0.0,74905225.0,CITIZENS BANK,33 NORTH INDIANA STREET ,MOORESVILLE,IN,46158.0,51.0
44750.0,16126.0,0.0,0.0,81518139.0,CITIZENS BANK OF THE MIDWEST,1515 MARTIN SPRINGS DRIVE ,ROLLA,MO,65401.0,51.0
44929.0,6637.0,46.0,0.0,44106384.0,"FIRST NATIONAL BANK OF MCCONNELSVILLE, THE",86 NORTH KENNEBEC AVENUE ,MCCONNELSVILLE,OH,43756.0,41.0
45038.0,5740.0,0.0,0.0,71112503.0,STATE BANK OF DAVIS,100 IL ROUTE 75 ,DAVIS,IL,61019.0,41.0
45047.0,14534.0,14209.0,0.0,82902074.0,"FIRST NATIONAL BANK AT PARIS, THE",11 EAST MAIN STREET ,PARIS,AR,72855.0,51.0
45056.0,9818.0,0.0,0.0,104908134.0,PLATTE VALLEY BANK,606 MAIN ,NORTH BEND,NE,68649.0,51.0
45430.0,22070.0,0.0,0.0,64202873.0,JOHNSON COUNTY BANK,241 WEST MAIN STREET ,MOUNTAIN CITY,TN,37683.0,51.0
45458.0,17927.0,0.0,0.0,101109130.0,VINTAGE BANK KANSAS,101 SOUTH MAIN ,LEON,KS,67074.0,51.0
45551.0,5170.0,0.0,0.0,73920829.0,BANK MIDWEST,1525 18TH STREET ,SPIRIT LAKE,IA,51360.0,51.0
45560.0,16470.0,0.0,0.0,114000763.0,JEFFERSON BANK,"1777 NE LOOP 410, SUITE 201 ",SAN ANTONIO,TX,78217.0,41.0
45775.0,28908.0,0.0,2601.0,231371692.0,IRON WORKERS SAVINGS BANK,3333 CONCORD ROAD ,ASTON,PA,19014.0,51.0
46053.0,1610.0,0.0,0.0,91900559.0,"STATE BANK OF FARIBAULT, THE",428 CENTRAL AVE. ,FARIBAULT,MN,55021.0,51.0
46941.0,2765.0,0.0,0.0,83901773.0,FARMERS BANK AND TRUST COMPANY,111 WEST WASHINGTON ,PRINCETON,KY,42445.0,51.0
47247.0,5033.0,0.0,11837.0,72410903.0,"DART BANK, THE",368 SOUTH PARK STREET ,MASON,MI,488540040.0,41.0
47256.0,27053.0,0.0,0.0,91512594.0,COMMUNITY FINANCIAL BANK,450 CENTER STREET ,PRENTICE,WI,54556.0,51.0
47452.0,25065.0,18162.0,0.0,111103333.0,FIRST NATIONAL BANK OF BENTON,104 SIBLEY DRIVE ,BENTON,LA,71006.0,51.0
