"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADF555	RIADF556	RIADF557	RIADF558	RIADF559	RIADFT29	RIADFT30	RIADFT31	RIADFT32	RIADJJ27	RIADT047	RIADY923	RIADY924	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	TEXTFT29	TEXTFT31	
24659					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
24949					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
25357					CONF							0	0	0	0	false		-807	0												0	0	0	0	0															Moved to Deferred Revenue per CPA				
25647					CONF							0	0	0	0	false		0	0					144							0	0	0	0					Loan fees						Holding Company capital infusion									
26765					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
27070					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
27614					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
27847					CONF							0	0	-8	0	false		0	0												0	0	0	0	0												Transfer from ACL to ACL on OBS (liability)							
28013	518				CONF							687	215	0	0	false		0	0		964			1904		358	621				0	0	0	0	0										capital contribution	change in unallocated ESOP								
28152					CONF							0	0	0	0	false		0	0					101							0	0	0	0	0					Contract Services														
28675					CONF							0	0	0	0	false		0	0					134							0	0	0	0	0							CORRESPONDANT BANK CHARGES	CONTRIBUTIONS							ASU 2016-01				
28732					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
29476					CONF							0	0	0	0	false		0	0												0	0	0	0	0												0							
29636					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
29878	104		514	63	CONF	5			1128	28		0	0	0	0	false	22	0	0	1		43	55	492	50		320	424		309	0	0	0	0	0	3	248	174	MISC OPERATING INCOME			OUTSIDE SERVICE FEES EXP	MTG LOAN EXPENSE											
30052					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
30502					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
30810	238436				CONF	61588			426580	562661		0	0	0	0	false		-37381	0							188273					0	0	0	0	0				Net Credit Card Fee Income			Servicing Fees Paid To Affiliates	Increase to Counterparty Restitution Plan Liability							Effect of adoption of Accounting for Investments in Tax Credit Structures ASU 2023-02				
31134					CONF							0	0	0	0	false		0	0				17	252		152	49			55	0	0	0	0	0				Promotional Fee	OTHER MISC INCOME		Misc Servicing								Allowance for unfunded committments				
31255	21		166	77	CONF	41	769	240	190	376		0	0	0	0	true		0	0		135	4		326	33	49	81	71		115	0	0	0	0	0				Other mortgage loan income	PF ICS income	PF Lockbox/ PF Sweep Fee/CDARS Fee Income	Item processing	Computer support contracts						Loan expenses 5850000, 58505000, 58520000 - 202,261					
31657					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
31826	45		50	5	CONF				21			0	0	0	0	false	10	0	0						39	225	30		164	21	0	0	0	0	0							Other Taxes (Franchise, R/E, & Other)												
31835					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
32234					CONF							0	0	247	0	false		-182	0												0	0	0	0	0												Late Adj to AFS Reserve (2023)			Late Adj. to AFS Reserve (2023)				
32766					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
32971					CONF							0	0	0	0	false		0	0												0	0	0	0																				
33147					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
33259					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
33370					CONF							0	0	0	0	false		0	0												0	0	0	0	0															CECL adjustment				
33839					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
33857	68		6		CONF				38			0	0	0	0	false		0	0				173	338							0	0	0	0	0							OTHER PROFESSIONAL FEES			CAPITAL INJECTION FROM HOLDING COMPANY									
34434					CONF							0	0	0	0	false		0	0												0	0	0	0	0										Amount contributed to the subsidiary institution from parent holding company as a result of ECIP									
34537	2545				CONF						2615	0	0	0	0	false		0	0		2255			12405		1961					0	0	0	0	0									Other										
34555	50	1	59	2	CONF							0	0	0	0	false	11	0	0	5	149	5	2	296	20	162	5	33	120	7	0	0	0	0	0	3		12				BANK OWNED LIFE INSURANCE EXPENSE												
34742					CONF							0	0	0	-11	false		0	0												0	0	0	0	0													Adjustment for off-balance sheet items						
35057					CONF							0	0	0	0	false		0	0					210							0	0	0	0	0																			
35301	0	0	0	0	CONF	236000	140000	89000	222000	83000	0	300000	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	Fee Revenue received from Affiliates	Software Service Fees	Fees for securities lending transactions	Fees for transaction processing services	Fees for professional services		Other Adjustments with stockholders									
35646					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
35879					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
36456					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
36933					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
37051					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
37341					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
37435					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
37640	1138				CONF							0	0	0	0	false		0	0		451			2787		4088		950	1023		0	0	0	0																				
37659	2		4		CONF							0	0	0	0	false	3	0	0				5	86	7		9	9		5	0	0	0	0	0																			
37949					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
38740					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
39327					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
39756	234				CONF		103					0	0	0	0	false		0	0					258		193					0	0	0	0	0				Other Operating Income	Lease Rental Income	ICS Sweep Broker Fees	Other Operating Expense	General Travel & Expense	Other Insurance Expense										
40033					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
40499	768				CONF	366			788			670	0	0	0	false		0	0		806			2569		2712		721			0	0	0	0	0				LOAN DERIVATIVE VALUATION			SOFTWARE LICENSES AND AMORTIZATION			Capital Contribution from parent holding company									
40855					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
41553					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
41629					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
41825	169				CONF							0	0	0	0	false		0	0		212			868		235		143	158		0	0	0	0	0																			
42037					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
42354					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
42372					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
42420	1175	1		138	CONF							0	0	0	0	false	732	0	0	286	1294	109	210	2092	344	6690	80		2172	685	0	0	0	0	0		48	277																
42448					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
42457					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
43052					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
43351					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
43856					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
43959					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
44040					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
44433					CONF							0	0	0	0	false		0	0					317			159	209			0	0	0	0	0																			
44741					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
44750					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
44929	8		17		CONF				35			0	0	0	0	false	5	0	0	3	20	5	29	119	8	131	19		93	39	0	0	0	0	0							(Franchise) FIT #4460001												
45038					CONF		107					0	0	0	0	false		0	0					144			119				0	0	0	0	0					Off ledger prior years interest recovery														
45056					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
45430					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
45458					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
45551					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
45560	621				CONF	381			1209			0	0	0	0	false		0	0		202			454		79					0	0	0	0	0				Debit card fee income	Letter of Credit Fees		Computer software												
45775					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
46053					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
46941					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
47247	100		83	74	CONF	203	1058	171	423			3500	0	0	0	false	10	0	0	8	154	6	188	581	48	71	150	445	121	38	0	0	0	0	0	17		40	Sponsor Bank Fees	Merchant Processing Income	Derivative Gain - IRLC	New Loan Expense			Capital Contribution									
47500					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
48057					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
48150					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
48374					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
48440					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
49054					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
49148					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
49241					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
49652					CONF							0	0	36	0	false		0	0												0	0	0	0	0												EXAMINER RECOMMENDED ADJUSTMENT							
49858					CONF							0	0	0	0	false		27	0												0	0	0	0	0															AJE provided by CPAS for tax purposes. Cumulative effect credit to Retained Earnings.				
49951					CONF							0	0	0	0	false		0	0												0	0	0	0	0											0	Gain on sale of repo property							
50144					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
50461					CONF							0	0	0	0	false		4	0												0	0	0	0	0				Non-Interest Income from Subsidiary - Villa Tuscany Real Estate			FRB correspondent fee	Business meal and development	Property tax &Ops expense from Subsidiary - VTRE						CPA true up the tax account when filing the tax return				
51253					CONF							0	0	0	0	false		0	0				255	172							0	0	0	0	0		332								Loans from Holding Company									
51356	3		9		CONF							0	0	0	0	false	4	-1	0			3	8	1	4		35		9		0	0	0	0	0															TAX ADJUSTMENT				
51459					CONF							0	0	0	0	false		0	0												0	0	0	0	0												Transfer from ACL to ACL Unfunded Comittments							
51842					CONF							0	0	0	0	false		0	0				141	160							0	0	0	0	0																			
52719					CONF				8797	4700	2712	0	0	0	0	false		0	0									13256			0	0	0	0	0							Management Fee	Allocated Depreciation Expense	Transfer Agent Fee										
52951					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
53051					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
54058					CONF	219						0	0	0	0	false		0	0					297							0	0	0	0	0				Star Income			Star Charges												
54656	90			12	CONF				481	199		0	0	0	0	false	66	0	0	13	107	17	35	541	49	275	114	11		63	0	0	0	0	0		2	36	Valesco Income			Holding Company Fees	Debit Card Expense				0							
54973					CONF				1521			578	0	0	0	false		0	0		3584		454	3325		1962		1904			0	0	0	0								Software Maintenance			Additional Paid in Capital									
55336					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
55635					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
55653					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
55970					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
56258					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
56351					CONF				1031			0	0	0	0	false		0	0		420			738		2227				860	0	0	0	0	0							software expense												
56548					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
56717					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
57040					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
57451					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
58225					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
58243	1316		199	131	CONF	1336	581		2664			0	0	0	0	false	270	0	0	23	764	52	75	2268	139	1126	252	2556	212	191	0	0	0	0	0	164		552	Management fee revenue - JWI	Client derivative fee income		Software expense												
58355					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
58551					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
58636					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
58757					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
58971	1406				CONF	1045			3673			0	0	0	0	false		0	0		796			3136		2472					0	0	0	0	0				Rent Income			Software Expense												
59316					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
59352					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
59370					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
59754					CONF							100	0	0	0	false		0	0												0	0	0	0	0										Capital contribution from holding co where no stock was issued.									
60143					CONF	25000	-25000	14000	67000	44000	29000	0	0	0	0	true		-4000	0		10000					65000		17000			0	0	0	0	0	0	0	0	Intercompany Income	Risk Management Hedging Loss	Commercial Loan Commitment Fees	Outside processing fee expense	Software Expense	Intercompany Fee Expense					Line 1 above include an additional item that exceed 7 percent of Schedule RI 5.I - Letters of Credit $10,000.  Line 2 above include an additional item that exceed 7 percent of Schedule RI 7.d - Other Defined Benefit ($21,000).	Adoption of ASU No 2023-02 Topic 323				
60330					CONF				258			0	0	0	0	false		0	0	144	157		132			1201		218	225	176	0	0	0	0	0							INTERNET BANKING												
60545					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
60554					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
60648					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
61122	152	1	40	90	CONF				183			0	0	0	0	false	104	0	0	6	326	36	86	1167	37	932	217	167	152	109	0	0	0	0	0	20	110	124				Contract labor												
61355					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
61476					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
61757					CONF							0	0	0	0	false		0	0					127							0	0	0	0	0							Regulatory Exam Fees												
61832					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
61953					CONF							0	0	0	0	false		0	0												0	0	0	0	0															Adjustment to Depreciation of Bank Building &  Fixtures				
62044					CONF							39	0	0	0	false		-27	0												0	0	0	0	0										STOCK COMP					WRITE OFF OF PREMIUM ON PURCHASED LOAN				
62110					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
62147					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
63050					CONF							0	0	0	0	true		0	0												0	0	0	0	0																			
63069	0	0	0	0	CONF	15944	10557	-7749	42689	16086	0	0	0	0	0	true	0	0	0	0	0	0	0	51387	0	9373	0	42958	0	0	0	0	0	0	0	0	0	0	Non trading derivatives income	Lease residual and operating income	Net FV adjustments for financial assets reported under the fair value option	Specialty Deposit Expenses	Intercompany income from parent						Additional line items that exceed 7 percent of Schedule RI 5.I                                                                                                           All other loan fees - $7,682					
63201					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
63573					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
63733					CONF				145			0	0	0	0	false		0	0		204			455		890	157		443		0	0	0	0	0							Loan Department Direct Expense												
64150					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
64552					CONF				125			0	0	0	0	false		0	0					207				145			0	0	0	0	0				ICS Fee Income			Subscriptions												
64730					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
65205					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
65559	199		112		CONF							0	0	0	0	false		0	0					307		274			158		0	0	0	0	0						BOLI													
65858					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
66154					CONF							28	0	0	0	false		0	0												0	0	0	0	0										Holding Company Increase Investment									
66275					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
67142					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
67151					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
67209					CONF							0	0	0	0	false		0	0												0	0	0	0	0										Capital Contribution from Mid Tier Holding Company									
67254					CONF							395	0	0	0	false		0	0												0	0	0	0	0										Capital Injection									
67656					CONF	6752			4499	1681		0	0	0	0	false		0	0							1194					0	0	0	0	0				CREDIT CARD FEES			CREDIT CARD PROCESSING	CREDIT CARD FDR EXPENSE											
67870					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
68671					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
68756	179				CONF				172			0	0	0	0	false		0	0				84	374		445			212		0	0	0	0	0							IT Services								Sub S State Income Tax Payment				
68831					CONF							0	0	0	0	false		0	0												0	0	0	0	0											0								
69333	307				CONF				828	400		0	0	0	0	false		0	0		227					1231					0	0	0	0	-902				CDFI Grant Income			Computer Software Expense	Merchant VISA transaction expense											
69678					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
70218					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
70414					CONF							388	0	0	0	false		0	0												0	0	0	0	0										ESOP Contribution									
70638					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
70955					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
71073					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
71457					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
71859					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
72258					CONF							0	0	0	0	false		0	0												0	0	0	0	0												0			0				
72351					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
72454					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
72678					CONF							0	0	0	0	false		0	0												0	0	0	0	0										0									
73116					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
73152					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
