"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADF555	RIADF556	RIADF557	RIADF558	RIADF559	RIADFT29	RIADFT30	RIADFT31	RIADFT32	RIADJJ26	RIADJJ27	RIADJJ28	RIADKW17	RIADT047	RIADY923	RIADY924	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	TEXTFT29	TEXTFT31	
3458	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0					0	0	0																
3720	157	31	190	0	CONF	648	0	0	0	0	0	0	0	0	0	false	0	0	0	0	236	0	92	1358	0	0	153	84	154	116	0	0	0	0					0	0	0	Check Card Income															
3971	0	0	0	0	CONF	0	0	0	673	1996	0	0	0	0	0	false	0	0	0	0	677	0	0	0	0	1581	0	1064	926	0	0	0	0	0					0	0	0				Computer software	Direct and indirect expense allocations/management fees from Affiliate									Exited and wound down the operations of the Bank's Consumer Banking Division.		
4156	0	0	0	0	CONF	0	0	0	229	193	0	0	0	0	0	false	0	0	0	0	148	0	0	328	0	508	0	0	312	211	0	0	0	0					0	0	0				Internet Banking 55123	Information Technology-Bankonit 55129											
4231	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	416	0	185	0	0	176	0	0	0	0	0					0	0	0																
5069	0	0	780	0	CONF	0	0	0	212	0	0	0	0	0	0	false	0	0	0	0	0	0	0	233	0	0	241	0	0	0	0	0	0	0					0	0	0				Boker fees												
5135	65	0	79	66	CONF	0	0	0	0	0	0	0	0	0	0	false	94	0	0	0	203	16	556	0	191	0	210	40	291	273	0	0	0	0					15	18	0																
5210	0	0	0	0	CONF	0	0	0	1623	0	0	-19000	0	0	0	false	0	0	0	0	1532	0	0	1148	0	3322	0	943	0	0	0	0	0	0					0	0	0				PA Shares Tax			Dividend to holding company									
5461	0	0	0	0	CONF	223	0	0	813	0	0	0	0	0	0	false	0	0	0	0	212	0	0	1524	0	559	0	0	0	0	0	0	0	0					0	0	0	Cash Management			Transportation Expenses												
5751	0	0	0	0	CONF	0	0	0	249	0	0	0	0	0	0	false	0	0	0	0	119	0	0	543	0	311	0	0	0	254	0	0	0	0					0	0	0				Trust Accounty & Software Expense												
6039					CONF	149						0	0	0	0	false		0	0					1261		712				348	0	0	0	0								SBA package fees															
6329	2345	1	71	463	CONF				348	2663	474	0	0	0	0	false	979	0	0		354	44	385		1552	5469	403	1055	194	876	0	0	0	0					96	100	214				Education & Training	Service Fee Analysis	Donations	Transfer from Holding Company									
7009	0	0	0	0	CONF	4438	0	0	34005	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	Realized Gains on Equities Not Held for Trading			Investment Advisory and Other Svc Fees												
7045	49	0	104	0	CONF	0	0	0	0	0	0	0	0	0	0	false	24	0	0	7	0	16	66	0	46	588	60	0	308	58	0	0	0	0					0	0	0																
7072	139	0	244	0	CONF	182	0	0	285	0	0	0	0	0	0	false	0	0	0	0	0	0	0	1263	0	392	235	454	0	0	0	0	0	0					0	0	0	BOLI			Loan Expenses												
7456	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	192	136	0	0	0	0	0	144	0	0	0	0	0	0	0		0	0	0																
7634	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	280	0	0	0	0	163	0	0	0	0	0					0	0	0																
8033	18	20	290	132	CONF	0	0	0	0	0	0	0	0	0	0	false	57	0	0	10	55	21	24	221	39	324	96	73	189	121	0	0	0	0					0	10	10																
8462	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	175	0	449	0	0	296	0	0	0	0	0					0	0	0																
8631	25	0	62	9	CONF	0	0	0	22	0	0	0	0	0	0	false	17	0	0	0	64	6	148	355	10	0	53	8	21	0	0	0	0	0					0	0	25				CORRESPONDENT BANK CHARGES												
9357	520	0	0	0	CONF	651	382	0	293	321	809	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	Deposit Account Service Income	Interest on other investments		Hiring & Other HR Expenses	Software Purchase & Maint.	Outside Vendor Services										
9553	0	0	231	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	94	7	0	137	0	72	0	0	0	0	0	0	0	0					0	0	0																
9807					CONF	995	922	677	2021	820		0	0	0	0	false		0	0		-12974										0	0	0	0						2035		LOAN EXIT FEES	PREPAYMENT PENALTY FEES	PROCEEDS FROM VILLAGE AT MANALAPAN	Computer Equipment Supplies	FDIC Assessment Expense											
9955	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	330	0	0	0	0	0	0	0	0	0	0					0	0	0																
10250	422	0	122	85	CONF	158	66	0	586	133	108	0	0	0	0	false	107	0	0	20	14	34	9	878	169	2385	117	170	864	108	0	0	0	0					0	9	133	ICS/CDARs Fee Income on Off Balance Sheet Deposits	Other Service Charges/Wires Etc		Software Service Contracts	Insurance	Bazing Customer Rewards Program	Downstream from Holding Company									
10849	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	203	859	75	0	133	0	0	198	0	0	0	0					0	0	0																
11145	115	45	174	6	CONF	87	71		132			0	0	0	0	false	98	0	0	45		18	984	552	141		245	89	368	128	0	0	0	0					33	59	61	Other Misc Income	Other Misc Asset Income		Credit & Collections												
11640	0	0	224	0	CONF	546	162	0	0	0	0	0	0	0	0	false	0	0	0	0	141	0	0	0	0	169	0	0	0	107	0	0	0	0					0	0	0	INCOME FROM PHAROS INVESTMENT	INCOME FROM CALTIUS INVESTMENT														
11837	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	298	0	0	0	111	0	0	0	0	0	0					0	0	0																
12030	0	157	0	0	CONF	227	0	0	277	0	0	0	0	0	0	false	0	0	0	0	0	0	0	1200	291	736	0	0	0	0	0	0	0	0					0	0	0	Appraisal Fee Income			Contributions												
12142	104	0	125	9	CONF	254	0	0	387	0	0	476	0	0	0	false	53	0	0	20	116	30	510	0	113	8	36	171	284	74	0	0	0	0					20	2	57	miscellaneous income			contracted services			CDFI FA Grant									
12311	118662	0	0	0	CONF	121920	106399	66239	0	0	0	0	0	0	0	false	0	0	0	0	60209	0	0	554658	0	377012	0	0	0	0	0	0	0	0		0			0	0	0	~Overhead charges	~Commitments/Letter of credit fees	~Operating and Other Lease Income													
12647	0	0	0	144	CONF	0	0	0	117	0	0	0	0	0	0	false	0	0	0	0	0	0	0	476	0	244	0	0	115	0	0	0	0	0					0	0	0				Core deposit amortization												
12656	6	0	32	0	CONF	0	0	0	0	0	0	0	0	0	0	false	7	0	0	1	0	2	5	14	5	17	15	2	0	17	0	0	0	0					1	0	0																
12946	1453	0	0	0	CONF	1139	682	0	0	1595	0	0	0	0	0	false	0	0	0	0	0	0	619	0	0	3677	0	0	0	3502	0	0	0	0					0	0	0	Equity in Investments	Misc income			Bus Development and Travel											
13103	1082				CONF				2121			0	0	0	0	false		1954	0				314	3014		1598		3015			0	0	0	0											Other Computer Service Expenses								Correction of reclassification of Non Controlling Interest				
13251	12	0	12	12	CONF	0	0	0	0	0	0	0	0	0	0	false	16	0	0	0	0	0	11	102	22	0	39	0	0	0	0	0	0	0					4	1	0																
13457	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0																
14155	102	0	0	0	CONF	0	0	0	230	0	0	0	0	0	0	false	0	0	0	0	148	0	0	318	0	1071	0	0	533	0	0	0	0	0					0	0	0				Dues and subscriptions												
14650	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	152	0	116	0	0	0	0	0	0	0	0					0	0	0																
14753	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0					0	0	0																
14865	0	0	0	0	CONF	922	0	0	471	0	0	0	0	0	0	false	0	0	0	0	0	0	0	1508	0	2049	0	0	0	0	0	0	0	0					0	0	0	ICS TRANSACTION FEE INCOME			ELECTRONIC BANKING EXPENSE												
14977	0	0	193	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	102	38	0	41	0	0	0	0	0	0	0					0	0	0																
16551	69	3	45	7	CONF	0	0	0	0	0	140	0	0	0	0	false	141	0	0	0	291	38	98	1219	244	1119	154	117	699	120	0	0	0	0					0	14	29						CREDIT REPORT EXPENSE										
17110	1102	0	0	0	CONF	0	0	0	3516	1236	0	0	0	0	0	false	0	0	0	0	0	0	0	2725	0	0	0	0	0	0	0	0	0	0	0	0	0	-36	0	0	0				REFERRAL FEES	CUSTODIAN COSTS											
17147	7477	0	0	0	CONF	3388	0	0	14387	0	0	0	0	0	0	false	0	0	0	0	5190	0	0	11455	0	19102	0	0	0	0	0	0	0	0		13799			0	0	0	OTHER INC - DERIVATIVE HEDGE			Other noninterest expense												
17259	13	5	37	66	CONF	3	1	19	0	0	0	0	0	0	0	false	31	0	0	1	46	7	205	0	50	0	0	0	0	0	0	0	0	0					0	0	0	ROYALTY INCOME	FORFIETURE	OTHER MISC INCOME													
17950	310	0	0	0	CONF	0	0	0	153	304	0	0	0	0	0	false	0	0	0	0	0	0	0	643	155	0	144	0	0	125	0	0	0	0					0	0	0				OCC Assessment	Dues & Subscriptions		Capital Injection Acquisition of Malta and Glasgow									
17978	68	0	163	0	CONF	81	14	0	82	71	17	0	0	0	0	false	74	0	0	20	0	10	33	506	44	171	76	0	8	89	0	0	0	0					4	11	44	Appraisal & Inspection Fees	Misc Operating Income		OCC Supervisory Fees	Misc Operating Expense	Misc Non-Operating Expense										
18050	171	0	361	0	CONF	0	0	0	128	183	0	27000	0	0	0	false	170	0	0	0	287	0	204	0	153	3184	223	0	1311	868	0	0	0	0					0	0	0				BUSINESS DEVELOPMENT AND GOODWILL	OCC FEES		CAPITAL CONTRIBUTION FROM TOP TIER HOLDING COMPANY									
18827	1980	0	0	0	CONF	1347	696	492	0	0	0	0	0	0	0	false	0	0	0	0	743	0	0	3339	0	2542	0	0	1403	0	0	0	0	0				-215	0	0	0	OTHER LOAN INCOME	LOAN SWAP FEES	RPA - SWAP FAIR VALUE MTM													
18836	208	0	158	0	CONF	117	0	0	0	0	0	0	0	0	0	false	0	0	0	0	109	0	0	819	0	495	0	0	0	0	0	0	0	0					0	0	0	OTHER MISC FEE INCOME															
18854					CONF	486	145		3358			0	0	0	0	false		0	0					2110		898	632				0	0	0	0					274			Secondary Market Income	BSA Monitoring Fee Income		Bonus Accrual												
19356	0	0	0	0	CONF	0	0	0	104	0	0	1000	0	0	0	false	0	0	0	0	0	0	0	225	0	203	0	0	173	0	0	0	0	0					0	0	0				Stronghold Security, internet, misc. equipment..			bank stock loan proceeds									
19936	0	0	222	0	CONF	0	0	0	235	0	0	0	0	0	0	false	0	0	0	0	130	0	797	828	0	0	0	0	532	0	0	0	0	0					0	0	0				Deferred Compensation												
19972	0	0	157	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0																
20053	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	223	0	0	0	780	0	0	0	0	0	0					0	0	0																
20633	0	388	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	653	0	0	1254	0	608	0	369	0	0	0	0	0	0					0	334	0																
20857	207	0	0	0	CONF	104	877	0	401	0	0	-4009	220	0	0	false	0	0	0	0	0	0	0	0	0	297	0	0	177	0	0	0	0	0					0	0	0	Loan Fees from other Lenders	Gain on Sale of Swap		Public Relations			Capital Retirement from Surplus Account	Reversal of Sub S Tax Distribution								
21256	1	0	17	27	CONF	0	0	0	0	0	0	0	0	0	0	false	1	0	0	0	11	1	0	46	2	0	0	0	0	7	0	0	0	0					0	0	0																
21359	0	0	0	0	CONF	0	0	0	182	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0				Premises and Fixed Asset Expense												
21658	119		102		CONF							0	0	0	0	false		0	0		109		153	419							0	0	0	0											Maintenance Agreements	Education	Insurance Expense										
22048	100	0	2	28	CONF	193	0	0	154	0	0	0	0	0	0	false	86	0	0	5	61	23	758	665	50	148	110	118	247	30	0	0	0	0					25	3	51	Misc. Income			Public Relations/ Charitable			CDFI Awards - BEA									
22543	332	0	0	0	CONF	112	0	0	262	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	499	0	0	348	0	0	0	0	0					0	0	0	RE Evaluation Fees			Online Banking												
22552	79	0	71	24	CONF	0	0	0	0	0	0	0	0	0	0	false	24	0	0	6	0	9	84	10	60	0	39	86	11	30	0	0	0	0					7	30	0																
22730	0	0	205	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	390	0	453	0	200	319	0	0	0	0	0	0	0	0		0	0	0																
23456	325	0	75	5	CONF	0	0	0	167	209	0	0	0	0	0	false	24	0	0	0	0	0	0	459	40	712	66	130	461	47	0	0	0	0					0	0	0				Service Charges and fees	Bond losses											
23504	5895	0	0	0	CONF	2031	0	0	0	0	0	0	0	0	0	false	0	0	0	0	10346	0	0	13553	0	2660	0	4146	0	0	0	0	0	0					0	0	0	TITLE FEE INCOME															
23643	179	4	135	18	CONF	0	0	0	0	0	0	0	0	0	0	false	20	0	0	4	119	17	493	448	0	0	147	0	306	186	0	0	0	0					11	0	0																
23755	165	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	730	0	224	0	0	0	111	0	0	0	0					0	0	0																
24006	0	0	0	0	CONF	923	0	0	12812	0	0	9688	0	0	0	false	0	0	0	0	751	0	0	0	0	605	0	0	0	0	0	0	0	0					0	0	0	SWAP FEE INCOME			MERGER RELATED EXPENSES			Unearned ESOP Shares Expense									
24378	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	260	0	107	0	0	0	0	0	0	0	0					0	0	0																
24659	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0					0	0	0																
24949	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	347	0	0	0	0	290	211	0	0	0	0	0	0	0					0	0	0																
25357	374	0	0	0	CONF	1005	0	0	103	0	0	0	0	0	0	false	0	0	0	0	0	0	0	1022	176	0	0	0	0	0	0	0	0	0					0	0	0	Misc income			Subscriptions												
25647					CONF	533						0	0	0	0	false		0	0					714			118				0	0	0	0								Loan fees						Holding Company capital infusion									
26457					CONF							0	0	0	0	false		0	0												0	0	0	0																							
26765	0	0	0	0	CONF	0	4409	0	2365	5622	0	0	8905	0	0	false	0	0	0	0	1715	0	0	4707	0	3516	0	0	0	0	0	0	0	0				0	2297	0	0		Foreign Exchange Fees		Operational losses	Software expense			Capital Injection								
27070	373	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	673	0	0	1188	0	0	0	408	0	0	0	0	0	0					0	0	0																
27548	398	0	217	136	CONF	0	0	0	0	0	0	0	0	0	0	false	265	0	0	63	320	55	248	2816	467	4642	460	920	2061	554	0	0	0	0					107	42	1312																
27614	459	0	0	0	CONF	186	0	0	0	0	0	0	0	0	0	false	0	0	0	0	171	0	203	2284	0	1365	0	372	0	0	0	0	0	0					0	0	0	Other Service Fee Income															
27847	0	0	0	0	CONF	0	0	0	674	595	372	0	0	0	0	false	0	0	0	0	376	0	2019	442	365	0	0	0	795	0	0	0	0	0				0	0	0	0				Management Fees	Other Outside Service Fees	BOLI/Deferred Comp Plan										
28013	2159		1361		CONF							3795	1408	0	0	false		0	0		3414			6495		1490	1555	1635			0	0	0	0		0												capital contribution	change in unallocated ESOP								
28152	104				CONF		108					0	0	0	0	false		0	0		121			393							0	0	0	0									Contract Services														
28675					CONF				135	182		0	0	0	0	false		0	0					463		102			136		0	0	0	0											CORRESPONDANT BANK CHARGES	CONTRIBUTIONS							ASU 2016-01				
28732	0	0	0	0	CONF	396	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	489	0	0	119	191	0	0	0	0	0	0					0	0	0	MC CHECKCARD															
29476	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0					0	0	0																
29636	610	0	0	0	CONF	801	0	0	674	0	0	-38	0	0	0	false	0	0	0	0	444	0	0	0	1016	3733	0	0	799	0	0	0	0	0					0	0	0	Disposal/Sale of 2 Branch locations			SERP Plan Expense			Transfer Other Real Estate to Holding Co									
29878	2061		1655	281	CONF	71	573		5640	427		0	0	0	0	false	54	0	0	3		168	205	1320	203		986	1334		549	0	0	0	0	85	0	-85		17	482		MISC OPERATING INCOME	OTHER OPERATING INCOME		OUTSIDE SERVICE FEES EXP	MTG LOAN EXPENSE											
30052	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0					0	0	0																
30502	0	0	0	0	CONF	221	0	0	1153	0	0	0	0	0	0	false	0	0	0	0	0	0	0	858	0	2224	0	0	1051	0	0	0	0	0					0	0	0	cash management fee income			software exp, amortization and maintenance												
30650	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	722	0	0	0	0	103	0	0	0	0	0					0	0	0									Push down accounting adjustment due to bank sale / change of control 12/31/21							
30810	976263				CONF	255253			1361195			0	0	0	0	false		-206210	0							618914					0	0	0	0		0						Net Credit Card Fee Income			Servicing Fees Paid To Affiliates								Prior period adj related to card product misclassification matter				
31134					CONF		60					0	0	0	0	false		0	0				72	877		591	193			215	0	0	0	0								Promotional Fee	OTHER MISC INCOME		Misc Servicing												
31255	109	0	566	240	CONF	913	0	0	692	1494	0	0	0	0	0	false	0	0	0	0	343	0	0	994	137	226	318	290	0	343	0	0	0	0				-35	0	0	0	Other mortgage loan income			Item processing	Computer support contracts											
31657	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	693	596	0	0	0	0	0	105	0	0	0	0					0	0	0																
31826	155		192	11	CONF	294	642		465			0	0	0	0	false	46	0	0					712	118	958	170		574	94	0	0	0	0						3		PPP SBA Lender Fees	BOLI Proceeds (Tax Exempt)		Other Taxes (Franchise & Excise, R/E. PP Taxes)												
31835	0	0	282	0	CONF	171	0	0	165	128	0	4000	0	0	0	false	0	0	0	0	380	0	0	0	0	0	0	190	0	0	0	0	0	0					0	0	0	CDFI Bank Enterprise Award			Conferences, Seminars and Travel	Dues and Subscriptions		Emergency Capital Investment Program (ECIP)									
32234	101	0	0	0	CONF	0	0	0	454	-2434	1001	0	0	0	0	false	0	0	0	0	0	0	147	601	0	0	105	163	0	0	0	0	0	0					0	0	0				Employee Relations & Education	Derivative Gains	Goodwill Amortization & Software License/Maint.										
32766	0	0	0	147	CONF	0	0	0	0	0	0	706	0	0	0	false	0	0	0	0	0	0	0	545	0	0	109	0	0	0	0	0	0	0					0	0	0							Stocks transaction									
32971	536	0	390	0	CONF	0	0	0	0	0	0	-250	0	0	0	false	0	0	0	0	206	0	1089	1152	0	0	244	0	455	0	0	0	0	0					0	0	60							Cash transfer to the newly established Mutual Holding Company									
33147	0	0	0	0	CONF	171	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	128	673	0	0	0	0	525	0	0	0	0	0					0	0	0	CDFI Grant Funds															
33259	0	0	0	0	CONF	1249	0	0	828	0	0	0	0	0	0	false	0	0	0	0	386	0	0	1829	0	835	0	0	0	0	0	0	0	0					0	0	0	Affiliate Bank Data Processing Services			Charitable Contribution Expense												
33370	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0												2021 y/e accounting adjustments				
33839	0	0	0	0	CONF	0	0	0	0	0	0	-5	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0							Holding Company Expenses per Board Request									
33857	269		12		CONF				250			1250	0	0	0	false		0	0				611	1209							0	0	0	0											OTHER PROFESSIONAL FEES			CAPITAL INJECTION FROM HOLDING COMPANY									
34434	191	0	56	336	CONF	387	0	0	222	353	0	10000	0	0	0	false	82	0	0	16	46	23	146	328	141	750	126	0	73	260	0	0	0	0				0	29	15	165	Employee Retention Credit-U.S. Treasury			Fraud Losses and Other Losses	Internet Banking		Amount contributed to the subsidiary institution from parent holding company as a result of ECIP									
34537					CONF			6910			7068	0	0	0	0	false		0	0		5571			28090		17292		12767			0	0	0	0		5276						Loan Swap Fees/Gains		Other	Employee Relations		Other										
34555	94	6	207	77	CONF	0	0	0	433	0	0	0	0	0	0	false	31	0	0	20	182	25	15	1038	77	621	12	153	434	33	0	0	0	0					10	0	46				Bank Owned Life Insurance												
