"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDB556	RCFDC010	RCFDFT33	RCFDFT34	RCFDFT35	RCFDHT80	RCFDJ448	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONB556	RCONC010	RCONFT33	RCONFT34	RCONFT35	RCONHT80	RCONJ448	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
11145																					1590	5211	18290	1266	2591		1325		1687					0		4443	0	2768		Great Lakes Capital Fund		
11640																					2465	4270	23692		2198				3400					0		11359	0	0				
11837																					73	1975	2552		45				459					0		0	0	0				
12030																					18235	2414	25328		1014				2232					0		1433	0	0				
12142																					754	3166	11656		458				1533					0		3007	0	2738				
12311	0	1257189	343102	6917186	0	1978870	0	0	0	640779	0	0	0	0	0	0	731968	878878	1086400		1257189																					
12647																					900	0	2212		378				934					0		0	0	0				
12656																					14	0	149		20				115					0		0	0	0				
12946																					8788	28750	70900		5530				11079					0		4291	12462	0				
13103																					7140	13243	64611	2381	23592				7078	11221				0		13558	0	0				
13251																					647	0	1521		95				238					0		541	0	0				
13457																					0	41	1228		0				266					0		921	0	0				
14155																					559	0	9219		576				2894					0		5190	0	0				
14650																					65	0	1939		322				141					0		1411	0	0				
14753																					181	144	801		54				422					0		0	0	0				
14865																					1283	3751	25482		2298				6476					0		7944	1857	1873				
14977																				0	23	69	565	54	76	0	0	0	397	0	0	9	0	0	0	0	0	0				
16551																					2261	0	8859		265				1766					0		4567	0	0				
17110																					219	0	4743	1292	4367	2030			157					0		0	0	0	Investment Advisory/Trustee Fees Receivable			
17147																				0	41882	101988	702517	0	164817	0	0	0	85499	74345	0	0	0	0	0	216562	73880	17889				
17259																					564	0	3092		64				361					0		2103	0	0				
17950																					2660	10653	19030		859				4557					0		0	0	301				
17978																					661	0	1946		366				919					0		0	0	0				
18050																					2799	0	19829		3528				3028					0		10474	0	0				
18827																					8729	6973	79152		14783				11608					0		20189	0	16870				
18836																					768	1430	8346		1290				459					0		4399	0	0				
18854																					1215	5299	18503	1162	4060				7929					0		0	0	0				
19356																					502	0	4468		450				588					0		2928	0	0				
19936																					448	3683	12742		540				1556					0		6515	0	0				
19972																					34	408	6287		64				267					0		4081	1433	0				
20053																					246	250	2758		74				887					0		1301	0	0				
20633																					1279	2982	14021		1544				860					0		7356	0	0				
20857																					1297	0	7364		273				4973					0		821	0	0				
21256																					59	0	517		19				69					0		370	0	0				
21359																					318	0	1280		172				607					0		183	0	0				
21658																					1149	168	6145	131	144				937					0		3151	0	596				
22048																					1152	0	10144		2199				1043					0		5750	0	0				
22543																					824	0	2716		830				1062					0		0	0	0				
22552																					770	0	1699		101				828					0		0	0	0				
22730																					644	4353	10713		994				1240					0		3482	0	0				
23456																					1424	0	6305	457	464	5			1342					0		3075	0	0	Stadium builder			
23504																				0	105258	56413	599256	19260	52246	0	0	0	49884	15577	0	0	0	0	0	280837	35700	18918				
23643																					1747	0	9076		222				1002					0		3337	0	2768				
23755																					560	0	7001		245				478					0		5718	0	0				
24006																					6025	16497	84519		18981				6709					0		32582	0	3725				
24378																					208	209	912		243				252					0		0	0	0				
24659																					56	0	589		0				533					0		0	0	0				
24949																					1581	3092	17287		449				1704					0		10461	0	0				
25357																					3527	0	10220		457				6236					0		0	0	0				
25647																					1315	1635	7263	257	3178				1135			2921		0		0	0	0				
26765																					23651	0	112422		7580				9631					0		53472	0	18088				
27070																					6762	6184	47543		1326				2628					0		30643	0	0				
27548																					3508	13660	41170		8172				3980					0		11850	0	0				
27614																					1600	7403	21251		1088				2496					0		8664	0	0				
27847																					2233	0	27564		1568				4643					0		14517	0	4603				
28013																					51184	36659	278683	2379	4862				17196					0		104203	0	64579				
28152																					642	0	6864	202	1656				933	1454				0		3633	0	0				
28675																					1484	1642	4209	280	320				763					0		0	0	0				
28732																					162	950	2737		124				468					0		1033	0	0				
29476																					630	345	4875		258				699					0		2943	0	0				
29636																					2991	28791	65522		3269				4562					0		18750	828	6331				
29878																					2307	11435	26246	538	6654	281	5493		5850					0		0	0	0	Seat License, CRA Investment, Interest Free Loans	Additional Minimum Liabilty Pension	Debit Escrow	
30052																					121	0	295		61				113					0		0	0	0				
30502																					6206	12319	28659		6713				3421					0		0	0	0				
30650																					432	332	1299		137				398					0		0	0	0				
30810		28306	2125920	3500333		81869	30924			1264238					0		0	0	0																				Inventory			
31134																					113	956	3255	500	530				966					0		690	0	0				
31255																				0	3707	0	26665	1580	2691	0	0	0	4964	0	0	0	0	0	0	13234	0	2069				
31657																					382	0	5304		242				642					0		0	0	4038				
31826																					1817	1665	11345	537	1717	1070			1323					0		4823	0	0	Deferred Compensation			
31835																					1928	1685	18143		171				1231					0		12257	0	871				
32234																					2573	8308	16052		3214				1957					0		0	0	0				
32766																					1967	0	2467		154				346					0		0	0	0				
32971																					1265	2553	15714		1026				1149					0		9424	0	297				
33147																					788	0	8126		1215				2689					0		2675	0	759				
33259																					1810	6496	29720		3008				2896					0		15510	0	0				
33370																					299	257	566		0				10					0		0	0	0				
33839																					79	0	503		255				169					0		0	0	0				
33857																					7836	0	16677	2781	2896				5945					0		0	0	0				
34434																					1045	0	6334		1545				1399					0		2345	0	0				
34537																					81124	120215	643402	43931	104552				44966					0		276988	0	15557	Deferred Comp			
34555																					4586	0	15444	632	796				2488		141	1		0		7574	0	0				
34742																					3477	2176	23541		4984				1983					0		10921	0	0				
35057																				0	856	22	5555	198	716	0	0	0	1034	0	0	0	0	0	0	2173	0	754				
35301	0	406000	897000	36042000	0	30308000	21011000	0	0	757000	0	0	0	0	0	0	636000	3038000	0		403000																		Collateral deposits, net			
35646																					1461	524	5625		135				379					0		3126	0	0				
35879																					1076	4843	14287		416				652					0		7300	0	0				
36456																					296	1575	4133		347				1077					0		838	0	0				
36933																					398	2833	8844		537				1353					0		3723	0	0				
37051																					499	0	1430		171				539					0		221	0	0				
37341																					611	0	2207		66				350					0		1180	0	0				
37435																					1210	10293	26315		8607				6205					0		0	0	0				
37640																				0	14957	57404	210945	0	39970	0	0	0	16569	0	0	0	0	0	0	53733	0	28312				
37659																				0	47	0	2027	18	583	0	0	0	370	0	0	0	0	0	0	1027	0	0				
37949																					481	0	9100		130				1619					0		6870	0	0				
38740																					1833	3876	14009		363				1242					0		6695	0	0				
39327																					471	3825	29079		2351				2023					0		19924	485	0				
39756																					657	0	19506	1308	1932				5583			58		0		8046	0	3288	0			
40033																					315	0	4009		797				189					0		924	0	1784				
40499																					24999	13062	189876		40961	14749			16567					0		87175	1834	5278	DEFERRED COMPENSATION PLAN			
40855																					770	0	1834		91				973					0		0	0	0				
41553																					343	0	2819		56				561					0		1859	0	0				
41629																					983	314	5524		2825				924					0		478	0	0				
41825																					1740	5258	18131	1102	1900				2358					0		4903	0	1972	Other Assets	Health Insurance Reserve		
42037																					46	1132	4061		82				488					0		2040	0	273				
42354																					623	0	6497		160				934					0		4780	0	0				
42372																					216	3362	12197		738				1294					0		6587	0	0				
42420																				553	36200	69260	451081	13983	82422				36175	30063				0		146783	70468	9773				
42448																				0	8557	2074	44946	2217	2627	0	0	0	11089	0	308	0	0	0	0	20599	0	0				
42457																					613	0	1705		605				487					0		0	0	0				
43052																					2294	189	7605		408				421					0		4293	0	0				
43351																					822	65	7300		462				3495					0		0	1283	1173				
43856																					984	339	3687		639				203					0		1522	0	0				
43959																					358	2953	4095		135				649					0		0	0	0				
44040																					1393	5404	15750		227				2838					0		5888	0	0				
44433																					3237	3022	9138	668	848				2031					0		0	0	0				
44741																					1459	2273	6891		555				2604					0		0	0	0				
44750																					1029	2380	9840		356				763					0		3534	0	1778				
44929																					657	0	4681	303	309				486					0		1432	0	1797				
45038																				0	214	3748	6864	0	143	0	0	0	695	0	0	0	0	0	0	2064	0	0				
45047																					888	0	2842		678				1276					0		0	0	0				
45056																					220	289	1432		179				744					0		0	0	0				
45430																					253	2235	6557		153				352					0		1958	0	1606				
45458																					2612	3100	10554		398				1522					0		2829	93	0				
45551																					5806	9939	47773		6374				8769					0		13804	0	3081				
45560																					10019	0	59973	10590	12364				7713					0		25839	0	4038				
45775																					687	1960	7748		276				509					0		4316	0	0				
46053																					2370	0	10143		378				1052					0		6014	0	329				
46941																					326	0	5830		228				649					0		1733	0	2894				
47247																					7672	1261	41553	2461	10513	3040			3081	312	331			0		19026	0	0	Lender Reserve Acct Receivable			
47256																					160	67	349		43				79					0		0	0	0				
47500																					1087	828	21443		2134				1225					0		16169	0	0				
48057																					529	993	4376		87				945					0		1822	0	0				
48150																					276	169	1451		35				212					0		759	0	0				
48374																					11724	0	63162		10510				11831					0		27977	0	1120				
48440																					947	1959	7947		2791				711					0		1539	0	0				
49054																					2758	0	4215		303				1154					0		0	0	0				
49148																					284	131	2835		109				643					0		1668	0	0				
49241																					12653	4773	57324		4325				4343					0		24256	0	6974				
49652																					781	855	7558		115				829					0		4978	0	0				
49858																					1071	222	6107		209				442					0		4163	0	0				
49951																					319	0	4830		253				1357					0		2901	0	0				
50144																					302	442	4814		111				297					0		3662	0	0				
50461																					0	1785	2200		35				380					0		0	0	0				
51253																				0	5702	0	19481	1596	2417	654	0	0	5548	0	0	0	0	0	0	5814	0	0	Taxes			
51356																					0	0	226		46				180					0		0	0	0				
51459																					3004	633	10747		188				2103					0		4819	0	0				
51842																					204	4354	12502	375	2785	2069			1234					0		3925	0	0	FASB 115 Sed G (l) Def Tax			
52719																				0	6402	28283	92350	0	57665	0	0	0	0	0	0	53182	0	0	0	0	0	0				
52951																					1252	2371	6965		343				2999					0		0	0	0				
53051																					5	0	526		43				478					0		0	0	0				
54058																					1568	517	5683		86				3512					0		0	0	0	Accrued Income Tax Receivable			
54656																				0	5093	0	30940	334	758	0	0	0	7076	0	0	254	0	0	0	13898	0	4115				
54973																					120748	109885	477090	10206	35974	21268			26547					0		183936	0	0	Prepaid Pension Benefit			
55336																					2313	2862	11991		1731				2256					0		2829	0	0				
55635																					279	497	2566		1232				558					0		0	0	0				
55653																					311	112	907		94				390					0		0	0	0				
55970																					761	3407	24483		1095				1669					0		13372	0	4179				
56258																					8	0	5723		212				1320					0		4183	0	0				
56351																					29858	9507	126826	5645	15694	5365			12693		128			0		59074	0	0	Right of Use Asset			
56548																					3255	1928	16130		977				1820					0		8150	0	0				
56717																					4645	7928	49721		6968				3303					0		22511	0	4366				
57040																				0	279	1245	3126	80	80	0	0	0	1522	0	0	0	0	0	0	0	0	0				
57451																					982	10182	22387		659				2817					0		7747	0	0				
58225																					1222	2767	13076		733				1132					0		6032	0	1190				
58243																					32093	21802	297511	7374	91235	17673			20485	53168	5863	6386		0		92900	38996	0	NMTC Receivable			
58355																					193	0	439		61				185					0		0	0	0				
58551																					0	0	8574		860				2033					0		5172	0	509				
58636																					1783	3774	19931		1658				2458					0		3502	0	6756				
58757																					1676	2952	8625		164				1581					0		2252	0	0				
58971																					18780	46322	202915	6411	21610	7890			30174					0		86029	0	0	Pension Asset			
59316																					5963	22165	89865		9527				6633					0		35327	1367	8883				
59352																					118	1600	11400		242				1755					0		7685	0	0				
59370																					269	1736	16536		624				798					0		10157	0	2952				
59754																					787	0	1913		685				441					0		0	0	0				
60143		1177000	946000	5722000		1844000	906000			346000					0		1381000	28000	0		1177000																		Pension plan assets			
60330																				0	981	2413	33288	2315	7896	0	0	0	3242	4338	0	0	0	0	0	10538	0	8218				
60545																					773	397	3438		34				2234					0		0	0	0				
60554																					240	0	1740		48				841					0		611	0	0				
60648																					712	3837	13831		571				1567					0		5989	0	1155				
61122																				8	4490	10536	85770	3494	17605	2072	8416	0	6487	0	0	0	0	0	0	46652	0	0	Operating Lease Asset	Pension Asset		
61355																					7275	10857	51726		5304				6780					0		21510	0	0				
61476																					14979	4156	53309		3595				4233					0		26346	0	0				
61757																					1520	768	13916	241	405			160	1425					0		9798	0	0			Debit Card Settlement	
61832																					1237	5485	20674	532	642				2964					0		5345	0	5001				
61953																					256	0	817		120				441					0		0	0	0				
62044																					82	0	1557		691				136					0		648	0	0				
62110																					126	296	555		83				50					0		0	0	0				
62147																					114	0	2443		151				403					0		1775	0	0				
63050																					25	3746	13326		114				1728					0		7713	0	0				
63069	0	433596	863138	2960424	0	983635	512164	0	0	334655	0	0	0	0	0	0	104370	241030	0		433596																		Affordable Housing Investments commitment			
63201																					395	2289	6869		927				945					0		2313	0	0				
63573																					2893	3658	9272		1582				1139					0		0	0	0				
63733																					5018	10914	53830	804	5349	3650			6160		247			0		21148	0	5241	Insurance Annuity Asset			
64150																					1167	0	7330		940				1651					0		3572	0	0				
64552																					709	0	16382	701	9596	2965			1215	245		589	2273	0		4862	0	0	Escrow/Foreclosure Advance			
64730																					125	4810	5998		93				970					0		0	0	0				
65205																					912	3606	53784		1682				2913					0		32075	0	12596				
65513		375	0	3907	1296	2331				1201					0		0	0	0		375																					
65559																					0	13275	32405	834	1044				4974		111			0		13112	0	0				
65858																					2311	2480	39909		10537				8840					0		14175	0	1566				
66154																					1235	392	9732		1013				1185					0		5907	0	0				
66275																					297	1956	8666		406				4521					0		1486	0	0				
66677																					5828	0	14516	384	3469	2296			858	38				0		4027	0	334	FHLB MPP - Lenders Risk account			
67142																					2395	0	4300	437	886				1019		449			0		0	0	0				
67151																					987	0	7305		3274				3044					0		0	0	0				
67209																					2122	10033	43099		7779				5051					0		18114	0	0				
67254																					0	0	120		89				31					0		0	0	0				
67656																					1657	14997	28445		4367	1293			4556					0		2868	0	0	NEGATIVE CURRENT TAXES			
67870																					960	2627	18215		1868				1249					0		11511	0	0				
68671																					157	0	1974		1143				674					0		0	0	0				
68756																					1750	0	18237	1043	1424				5477					0		9586	0	0	NSF Non Post Cash Items			
68831																					982	1362	5313		352				799					0		1818	0	0				
69333																				0	4223	0	49065	2209	4434	0	0	0	5887	0	0	0	0	0	0	34521	0	0				
69678																					1519	5039	12958		2984				3416					0		0	0	0				
70218																				0	859	375	8973	0	7293	6880	0	0	446	0	0	0	0	0	0	0	0	0	Right of Use Asset			
70414																					3324	4829	28746		3610				2144					0		13081	0	1758				
70638																					2266	409	11955		1050				3968					0		2983	177	1102				
70955																					0	0	354		101				253					0		0	0	0				
71073																					2219	830	7607		353				446					0		1271	0	2488				
71457																					4506	4066	19741		1291				4120					0		5758	0	0				
71859																					133	84	1167		915				35					0		0	0	0				
72258																					0	0	5910		1120				4790					0		0	0	0				
72351																					38	0	520		113				369					0		0	0	0				
72454																					215	775	1801		273				538					0		0	0	0				
72678																					1984	6493	31144		1557				1895					0		19215	0	0				
73116																					823	6126	15672		788				1661					0		6274	0	0				
73152																					277	0	5314		86				905					0		3304	0	742				
73554																					1984	403	8870		733				2493					0		3257	0	0				
73956																					174	110	1631		43				289					0		1015	0	0				
74056																					329	350	4942		1203				1498					2		1560	0	0				
74140																					15373	9017	75946		11569	6876			6779					0		30368	0	2840	Investment in Low Income Houseing			
74403																					3253	7414	33028	1445	3055				2646					0		16660	0	0		Rabbi Trust Asset		
74449																					25	0	116		45				46					0		0	0	0				
75259																					1109	414	28143		3029				2501					0		20269	0	821				
75446																					4220	434	16976		887				3241					0		8194	0	0				
75455																					0	0	94		0				94					0		0	0	0				
75633	0	2746602	2712168	12538565	474304	1662310	0	0	0	968789	0	0	0	661912	98	0	2544898	1802444	101256																							
75651																					568	517	3620		226				438					0		1871	0	0				
76153																				15	435	0	1319	39	373	0	0	0	373	0	0	0	0	0	0	138	0	0				
76443																					255	0	929		145				529					0		0	0	0				
76854																					3764	3825	22021		937				1990					0		8567	0	2938				
77150																				0	166	0	683	0	74	0	0	0	443	0	0	0	0	0	0	0	0	0				
77253																					1856	0	23703		4008				2415					0		15424	0	0				
77422																					699	1108	9952		3009				510					0		2398	0	2228				
77851																				0	20347	13647	153059	25480	30410	0	0	0	16538	0	0	0	0	0	0	72117	0	0				
78157																					100	0	385		89				196					0		0	0	0				
78241																					266	431	1191		63				431					0		0	0	0				
78559																					299	752	2377		587				739					0		0	0	0				
79042																					2137	3524	16718		73				2595					0		8266	0	123				
79127																					249	0	3576		173				400					0		2754	0	0				
79145																					2672	735	4803		273				1123					0		0	0	0				
79257																					327	24	642		86				205					0		0	0	0				
79855																					321	294	2188		630				943					0		0	0	0				
80150																					627	613	17410		385				5984					0		7771	0	2030				
80374																					532	1072	10170		422				747					0		7397	0	0				
80431																					179	200	1047		155				513					0		0	0	0				
81175																					1916	686	11385		2193				2675					0		3915	0	0				
82033																					1174	992	12401		3617				861					0		5757	0	0				
82257																					114	66	473		27				266					0		0	0	0				
82350																					96	1011	2531		95				245					0		1084	0	0				
83151																					492	0	3968		278				872					0		2326	0	0				
83375																					3982	0	37306		5522				6084					0		19048	0	2670				
83638	6353	62556	45982	474793		98613				37818	60788				0		229824	0	0		62556																					
83834																					1377	0	5695		644				805					0		2869	0	0				
83852																					68	110	690		207				305					0		0	0	0				
83955																					193	398	3103		35				849					0		1628	0	0				
84046																					113	1455	2876		11				422					0		0	875	0				
84541																					1130	11602	48705		3674				10380					0		12079	0	9840				
85052																					642	4604	7965		254				847					0		1618	0	0				
85472																					122526	56832	610212		122096				46104	95078				0		108125	108851	45678				
85931																					1606	2206	7754		452				1071					0		2419	0	0				
86349																					1505	0	7055		3900				1650					0		0	0	0				
86675																					3881	10966	31281		1891				370					0		14173	0	0				
87047																					446	2322	8949		233				770					0		5178	0	0				
87234																					1241	3191	35076		10370				2307					0		15398	0	2569				
87476																					1578	866	7631		357				401					0		4429	0	0				
87579																					2951	4650	19764	650	780				1721					0		5521	0	4141				
88231																					4360	6010	48092		8259				3941					0		25522	0	0				
88259																					355	0	2920		90				560					0		1915	0	0				
88352																					0	0	4824	65	96	10			1227		21			0		2268	0	1233	Bedias Mineral Interests, Inc - Subsidiary			
88455																					1144	3863	24713		3701				6784					0		7415	114	1692				
88950																					1080	36	1728		103				509					0		0	0	0				
89032																					1017	556	4586		377				515					0		1959	0	162				
89135																					58	0	3433		201				303					0		1311	0	1560				
89854																					1010	0	5229		448				824					0		2947	0	0				
89957																					929	384	3846		752				513					0		1268	0	0				
90047																					0	0	380		77				303					0		0	0	0				
90177																					2862	64	10286		1284				1083					0		1252	0	3741				
90328																					3014	5023	45313		11765				2888					0		22623	0	0				
90337																				0	3094	0	22999	948	1830	490	0	0	1469	0	0	0	0	0	0	16606	0	0	FISERV EFT Settlement Deposit			
90579																					1070	7361	19710		1709				1734					0		6822	0	1014				
91615																					371	1104	4750		158				585					0		2532	0	0				
91754																				0	3181	0	23571	1039	1447	0	0	0	3938	0	102	16	0	0	0	10087	0	4918				
91950																					81	508	3482		113				466					0		2314	0	0				
92144																					113	522	2188		7				416					0		1130	0	0				
92676																					1818	3761	26966	1121	1641				2454					0		14027	0	3265				
92706																					1010	5930	20669		2260				996					0		4743	0	5730				
92902																					42	0	584		178				90					0		274	0	0				
93244																					3436	0	11682		949				1686					0		5611	0	0				
93543																					2517	2024	25466		8477				3073					0		5584	0	3791				
93619	0	81	0	10807	0	10726	0	0	0	0	0	0	10597	0	0	0	0	0	0																							
94139																					1826	5471	26545		2304				2343					0		14601	0	0				
94522																					913	3847	32425		2371				3364					0		15394	2299	4237				
94755																					903	1843	9733		27				1773					0		5187	0	0				
94858																					346	0	1681		63				1272					0		0	0	0				
95051																					2013	4462	15451		7645				1331	1919		5315		0		0	0	0				
95677																					223	627	1464		298				316					0		0	0	0				
96553																					270	0	1601		277				1054					0		0	0	0				
97055																					1356	1647	6847		637				3207					0		0	0	0				
97279																					182	123	1271		269				197					0		0	500	0				
97457																					976	0	4600		220				1349					0		1436	0	619				
97804																					2939	9491	62629		17547				3852					0		28800	0	0				
97943																					2115	866	7036		199				3856					0		0	0	0				
98351																					164	630	4312		365				690					0		2463	0	0				
98463																					4746	17450	48911		1852				3807					0		16082	3985	989				
98717																				0	684	3489	10195	359	410	0	0	0	842	0	0	0	0	0	0	4770	0	0				
99143																					2374	3860	17685		1528				2393					0		5696	0	1834				
99376																					13842	4226	56236	3677	25278			3976	12808	11376		6249		82		0	0	0			Miscellaneous Assets	
99442																					843	6525	23323	2136	2807				5488					0		6046	156	1458				
99536																					1208	2598	26066		3039				3378					0		2016	0	13827				
99853																					0	914	1442		227				301					0		0	0	0				
100236																					251	0	9198		671				1368					0		6908	0	0				
100357																					5739	0	37060		1252				4929					0		22253	2887	0				
100562																				0	19978	122507	423913	0	115496	93463	0	0	31388	0	0	0	0	0	0	134544	0	0	Low income housing funds			
100777																					1348	5494	30594		566				2546					0		20640	0	0				
100843																					8866	0	19982		1288				3953					0		3790	0	2085				
101037																					4438	14749	25963		2373				4403					0		0	0	0				
101439																					123	0	1661		196				1342					0		0	0	0				
101671																					1732	4779	43311		14234	11485			3074					0		19492	0	0	capital lease assets			
101738																					829	0	5834		577				1465					0		2963	0	0				
101952																					1530	0	6151		144				570					0		3257	0	650				
102333																					0	684	1062		145				233					0		0	0	0				
102342																					1711	129	4426		397				2189					0		0	0	0				
102557																					754	144	3211		284				409					0		1620	0	0				
102874																					827	300	1862	141	153				582					0		0	0	0				
103134																					658	0	3049		128				442					0		1821	0	0				
104234																					72	1824	2686		208				582					0		0	0	0				
104542																					0	0	1075		77				344					0		654	0	0				
104971																					18	238	482		194				32					0		0	0	0				
105026																					1324	1933	10446		600				1568					0		5021	0	0				
105473																					6958	5524	31377		11105				7790					0		0	0	0				
105530																					229	3158	10061		264				687					0		4123	0	1600				
106359																					10477	31649	92537		11165				7036	4608				0		18924	0	13286	SERP asset	Payroll settlement		
106452																					779	0	4677		1061				2837					0		0	0	0				
106676																					660	165	1288		240				223					0		0	0	0				
107244																				0	62304	0	1087595	0	95435	0	0	0	135314	0	0	0	0	0	0	702474	57880	34188				
107570																					2102	3308	20216		1117				1986					0		11703	0	0				
107758																					326	0	2556		48				438					0		1744	0	0				
108072																					785	1678	7467		189				902					0		3913	0	0				
108269																					113	0	3537		23				265					0		3136	0	0				
108652																					238	248	893		51				93					0		263	0	0				
108746																					36	0	741		494				211					0		0	0	0				
108951																					4958	1588	12898		426				5534					0		392	0	0				
109136																					252	5518	19804		679				2223					0		11132	0	0				
109154																					808	0	2106		79				606					0		613	0	0				
109453																					1052	137	6003		643				1845					0		2326	0	0				
109574																					1503	3965	17497		338				1330					0		10361	0	0				
109659																					1762	0	12147		681				1491					0		7787	0	426				
110413																					10221	0	73403	690	30266	21693	3200		3957					0		26708	0	2251	Prepaid Custodial Broker Income	Accrued Program Revenue		
110936																					1199	7260	23286		7186				7641					0		0	0	0				
110945																					1573	1616	8462		321				1152					0		0	0	3800				
110972																					582	113	3007		110				182					0		2020	0	0				
111157																				0	652	0	3679	470	470	0	0	0	804	0	0	0	0	0	0	1753	0	0				
111205																					3511	3591	28302		4577				1918					0		6257	0	8448				
111942																					2052	4064	18157		610				2035					0		8595	0	801				
111979																					792	0	12148		983				1166					0		9207	0	0				
112163																					28384	11108	98096	3786	9618				10443			2668		0		38543	0	0				
112332																					195	432	7398		990				716					0		5065	0	0				
112510																					272	0	2427		321				259					0		1575	0	0				
112556																					195	150	1148		42				761					0		0	0	0				
